FieldLogicalName,DisplayName,Type,MaxLength,Required,Description,LookupTarget
cr950_apparatus_name,Apparatus Name,String,200,true,Equipment identifier - primary field,
cr950_apparatus_task,Task,Lookup,,true,Parent task,cr950_task
cr950_apparatus_type,Apparatus Type,String,100,false,Type of equipment (Breaker/Relay/etc),
cr950_apparatus_section,Section,String,100,false,Section grouping from estimator,
cr950_apparatus_quantity,Quantity,Integer,,false,Number of units (usually 1 per record),
cr950_apparatus_hours_per_unit,Hours Per Unit,Decimal,,false,Estimated hours per unit from estimator,
cr950_apparatus_total_hours,Total Hours,Decimal,,false,Quantity x Hours Per Unit,
cr950_apparatus_manufacturer,Manufacturer,String,200,false,Equipment manufacturer,
cr950_apparatus_model,Model,String,200,false,Model number,
cr950_apparatus_serial,Serial Number,String,100,false,Serial number,
cr950_apparatus_location,Location,String,200,false,Physical location within site,
cr950_apparatus_voltage,Voltage,String,50,false,Voltage rating,
cr950_apparatus_amperage,Amperage,String,50,false,Amperage rating,
cr950_apparatus_status,Status,String,50,false,Pending/InProgress/Complete,
cr950_apparatus_test_date,Test Date,DateTime,,false,Date of last test,
cr950_apparatus_result,Test Result,String,50,false,Pass/Fail/Conditional,
cr950_apparatus_revenue,Revenue,Currency,,false,CALC: Total Hours x Effective Labor Rate (from scope),
cr950_apparatus_notes,Notes,Memo,4000,false,Apparatus notes,
cr950_apparatus_sequence,Sequence,Integer,,false,Display order,
cr950_apparatus_row,Source Row,Integer,,false,Original row number from estimator,
cr950_apparatus_active,Active,Boolean,,false,Is record active,
