"TABLE_NAME","COLUMN_NAME","DATA_TYPE"
"AssetAttribute","RelayGUID","nvarchar"
"Curves","CurveGuid","nvarchar"
"DeltaComment","ResultsGUID","nvarchar"
"DeltaComment","TxtGUID","nvarchar"
"DeltaCorrAct","ResultsGUID","nvarchar"
"DeltaCorrAct","TxtGUID","nvarchar"
"DeltaDeficiency","ResultsGUID","nvarchar"
"DeltaDeficiency","TxtGUID","nvarchar"
"DeltaRecommend","ResultsGUID","nvarchar"
"DeltaRecommend","TxtGUID","nvarchar"
"Device_Type","CreatorGuid","nvarchar"
"Device_Type","DeviceGUID","nvarchar"
"Device_Type_Print_Order","DeviceGUID","nvarchar"
"Device_Type_Settings","DeviceGUID","nvarchar"
"FolderAudit","AuditGUID","nvarchar"
"FolderHierarchy","AncestorGUID","nvarchar"
"FolderHierarchy","CreateAuditGUID","nvarchar"
"FolderHierarchy","DeleteAuditGUID","nvarchar"
"FolderHierarchy","DescendantGUID","nvarchar"
"FolderOrg","FolderGUID","nvarchar"
"FolderOrg","ModifyAuditGUID","nvarchar"
"FolderOrg","RegionGUID","nvarchar"
"FormDataType","FormDataTypeGUID","nvarchar"
"FormDataTypeTags","DeviceGUID","nvarchar"
"FormDataTypeTags","FormDataTypeGUID","nvarchar"
"FormFamily","IconGUID","nvarchar"
"FormTemplet","CreatorGUID","nvarchar"
"FormTemplet","FormGUID","nvarchar"
"FormTemplet","TempletGUID","nvarchar"
"FormUpdate","EntryGUID","nvarchar"
"FormUpdate","FormGUID","nvarchar"
"FormUpdate","UserGUID","nvarchar"
"IconInfo","IconGUID","nvarchar"
"JobAttribute","JobGUID","nvarchar"
"JobUserAccount","AddingUserGUID","nvarchar"
"JobUserAccount","JobGUID","nvarchar"
"JobUserAccount","UserGUID","nvarchar"
"Manufacturer","ManufGUID","nvarchar"
"Model_Data","ManufacturerGUID","nvarchar"
"Model_Data","ModelGuid","nvarchar"
"Model_Data","RegionGuid","nvarchar"
"ModHistory","ItemGuid","nvarchar"
"ModHistory","UserGuid","nvarchar"
"ModUser","CreatorGuid","nvarchar"
"ModUser","RegionGuid","nvarchar"
"ModUser","UserGUID","nvarchar"
"PdbAddrHeader","CompanyGUID","nvarchar"
"PdbAddrHeader","CreatorGuid","nvarchar"
"PdbAddrHeaderArchive","CompanyGUID","nvarchar"
"PdbAddrHeaderArchive","CreatorGuid","nvarchar"
"PdbAddrInfo","AddrGUID","nvarchar"
"PdbAddrInfo","CompanyGUID","nvarchar"
"PdbAddrInfo","CreatorGuid","nvarchar"
"PdbAddrInfo","RegionGuid","nvarchar"
"PdbAddrInfoArchive","AddrGUID","nvarchar"
"PdbAddrInfoArchive","CompanyGUID","nvarchar"
"PdbAddrInfoArchive","CreatorGuid","nvarchar"
"PdbAddrInfoArchive","RegionGuid","nvarchar"
"PdbCategory","CategoryGUID","nvarchar"
"PdbCompliance","CategoryGUID","nvarchar"
"PdbCompliance","ComplianceGUID","nvarchar"
"PdbCompliance","RelayGUID","nvarchar"
"PdbCompliance","SubCategoryGUID","nvarchar"
"PdbExtDoc","CreatorGuid","nvarchar"
"PdbExtDoc","ExtDocGUID","nvarchar"
"PdbExtDoc","ItemGUID","nvarchar"
"PdbExtDocArchive","CreatorGuid","nvarchar"
"PdbExtDocArchive","ExtDocGUID","nvarchar"
"PdbExtDocArchive","ItemGUID","nvarchar"
"PdbFormArchive","ArchivedDeviceGuid","nvarchar"
"PdbFormArchive","OrigDeviceGuid","nvarchar"
"PdbJob","CreatorGuid","nvarchar"
"PdbJob","CreatorUserGUID","nvarchar"
"PdbJob","CustAddrGUID","nvarchar"
"PdbJob","CustCompanyGUID","nvarchar"
"PdbJob","EqmtAddrGUID","nvarchar"
"PdbJob","JobGUID","nvarchar"
"PdbJob","MgrUserGUID","nvarchar"
"PdbJob","RegionGuid","nvarchar"
"PdbJob","UserAddrGUID","nvarchar"
"PdbJob","UserCompanyGUID","nvarchar"
"PdbJob","WhoCompGuid","nvarchar"
"PdbJob_Print_Order","JobGUID","nvarchar"
"PdbJobArchive","CreatorGuid","nvarchar"
"PdbJobArchive","CreatorUserGUID","nvarchar"
"PdbJobArchive","CustAddrGUID","nvarchar"
"PdbJobArchive","CustCompanyGUID","nvarchar"
"PdbJobArchive","EqmtAddrGUID","nvarchar"
"PdbJobArchive","JobGUID","nvarchar"
"PdbJobArchive","MgrUserGUID","nvarchar"
"PdbJobArchive","RegionGuid","nvarchar"
"PdbJobArchive","UserAddrGUID","nvarchar"
"PdbJobArchive","UserCompanyGUID","nvarchar"
"PdbJobArchive","WhoCompGuid","nvarchar"
"PdbJobEquipment","AddingUserGUID","nvarchar"
"PdbJobEquipment","JobGUID","nvarchar"
"PdbJobEquipment","RelayGUID","nvarchar"
"PdbJobInfo","JobGUID","nvarchar"
"PdbRegions","RegionGUID","nvarchar"
"PdbResultCompliance","CategoryGUID","nvarchar"
"PdbResultCompliance","ResultComplianceGUID","nvarchar"
"PdbResultCompliance","ResultsGUID","nvarchar"
"PdbResultCompliance","SubCategoryGUID","nvarchar"
"PdbSubCategory","CategoryGUID","nvarchar"
"PdbSubCategory","SubCategoryGUID","nvarchar"
"PdbSynchTrack","RegionGUID","nvarchar"
"PdbSynchTrack","SynchGUID","nvarchar"
"PdbSynchTrack","UserGUID","nvarchar"
"PdbTemplate","CreatorGuid","nvarchar"
"PdbTemplate","TemplateGUID","nvarchar"
"PdbTestStatus","TestStatusGUID","nvarchar"
"PdbTrendInfo","CreatorGuid","nvarchar"
"PdbTrendInfo","ItemGUID","nvarchar"
"PdbUserAccount","CreatorGuid","nvarchar"
"PdbUserAccount","RegionGuid","nvarchar"
