"NETA '25","NETA '23","Labor","Labor2","Project","Total Onsite"
"ATS","MTS","ATS25","MTS23","Totals","Hrs Adjusted"
"7.19","7.19","4","4","0","0"
"7.19","7.19","3.5","3.5","0","0"
"7.19","7.19","1.5","1.5","0","0"
"7.19","7.19","0.5","1","0","0"
"7.22","7.22","3","4","0","0"
"7.22","7.22","4","6","0","0"
"7.18","7.18","NA","4","0",
"7.4","7.4","3","4","0",
"7.21","7.21","6","8","0",
"7.2","7.2","16","16","0",
"7.2","7.2","1","1.5","0",
"7.1","7.1","1","1.5","0",
"7.1","7.1","5","5","0",
"7.6","7.6","12","12","0",
"7.6","7.6","3","3.5","0",
"7.6","7.6","4","4.5","0",
"7.6","7.6","4","4.5","0",
"7.6","7.6","5","5.5","0",
"7.6","7.6","6","8","0",
"7.6","7.6","2","3","0",
"7.6","7.6","3","4","0",
"7.6","7.6","2","2","0",
"7.6","7.6","2.5","2.5","0",
"7.6","7.6","4","4.5","0",
"7.6","7.6","3","3.5","0",
"7.6","7.6","2","2.5","0",
"7.6","7.6","1.5","2","0",
"7.6","7.6","6","8","0",
"7.3","7.3","6","8","0",
"7.6","7.6","20","24","0",
"7.6","7.6","6","6","0",
"7.6","7.6","32","32","0",
"7.7","7.7","5","6","0",
"7.3","7.3","16","16","0",
"7.3","7.3","0.75","0.5","0",
"7.3","7.3","6","6","0",
"7.3","7.3","4","5","0",
"7.3","7.3","4","5","0",
"7.3","7.3","4","5","0",
"7.3","7.3","4.5","5","0",
"7.3","7.3","6","8","0",
"7.1","7.1","1.5","2","0",
"7.1","7.1","2","2.5","0",
"7.14","7.14","2","2","0",
"7.14","7.14","6","6","0",
"7.15","7.15","2","2.5","0",
"7.14","7.14","2","2.5","0",
"7.18","7.18","8","8","0",
"7.18","7.18","2","2","0",
"7.1","7.1","3","3","0",
"7.13","7.13","6","6","0",
"7.14","7.14","4","4","0",
"7.13","7.13","0.25","0.25","0",
"7.13","7.13","4","16","0",
"7.13","7.13","4","4","0",
"7.13","7.13","12","12","0",
"7.13","7.13","12","12","0",
"7.13","7.13","6","6","0",
"IR","IR","0.5","0.5","0",
"IR","IR","1","1","0",
"IR","IR","0.5","0.5","0",
