"P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31","P32","P33","P34","P35","P36","P37","P38","P39","P40","P41","P42","P43","P44","P45","P46","P47","P48","P49","P50","P51","P52"
"Scope","NETA_Standard","Task_ID","Task","Apparatus","Designation","Drawing","Date Due","Notes","Assessment","DATASHEET","DATE COMPLETED","NOTES2","% COMPLETION","TASK DELAYS","Apparatus Hours","Remaining Hours","ACTUAL HOURS","STATUS","AVAILABILITY","PRIORITY","Scope_Helper","Base_Rate","Scope_Budget","Multiplier","Completion","Week_Ending","Billing_Period","Base_Labor_$","Commute_Hrs","Commute_$","PM_Hrs","PM_$","Report_Hrs","Report_$","Travel_Hrs","Travel_$","Final_Hrs","Final_$","Travel_Fixed_$","ME_Fixed_$","Total_Var_Hrs","Total_Var_$","Total_Fixed_$","Subtotal_$","Total_Billable_$","Total_Billable_$",,,,,
"IPS","ATS","1.1.1","SES-00-001","Distribution","","","46027","Needs to be retested due to not meeting SRP specs. Bus needs to be rebuilt","NON-SERVICEABLE","False","","Needs to be retested due to not meeting SRP specs. Bus needs to be rebuilt","1","","2.5","0","2.5","COMPLETED","ON HOLD","","6","165","61025.625","1","1","","","412.5","0.125","20.625","0","0","0","0","0","0","0.125","20.625","0","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",,,,,
"IPS","ATS","1.1.2","SES-00-001","Arresters","","","46027","","","False","","","1","","2","0","2","COMPLETED","READY","","6","165","61025.625","1","1","","","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.1.3","SES-00-001","Instrument Transformers","","","46027","","","False","45994","","1","","2.5","0","2.5","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","412.5","0.125","20.625","0","0","0","0","0","0","0.125","20.625","0","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",,,,,
"IPS","ATS","1.1.4","SES-00-001","Instrument Transformers","","","46027","","","False","45994","","1","","2.5","0","2.5","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","412.5","0.125","20.625","0","0","0","0","0","0","0.125","20.625","0","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",,,,,
"IPS","ATS","1.1.5","SES-00-001","Circuit Breaker","","","46027","","","False","45993","","1","","4","0","4","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","660","0.2","33","0","0","0","0","0","0","0.2","33","0","5.39325842696629","0.4","66","5.39325842696629","731.393258426966","731.393258426966","731.393258426966",,,,,
"IPS","ATS","1.1.6","SES-00-001","Instrument Transformers","","","46027","","","False","45994","","1","","2","0","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.1.7","SES-00-001","Instrument Transformers","","","46027","","","False","45994","","1","","0.75","0","0.75","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","123.75","0.0375","6.1875","0","0","0","0","0","0","0.0375","6.1875","0","1.01123595505618","0.075","12.375","1.01123595505618","137.136235955056","137.136235955056","137.136235955056",,,,,
"IPS","ATS","1.1.8","SES-00-001","Protective Relay","","","46027","","","False","","","0","","5","5","5","NOT STARTED","NOT AVAILABLE","","6","165","61025.625","1","0","","","0","0.25","0","0","0","0","0","0","0","0.25","0","0","0","0.5","0","0","0","0","0",,,,,
"IPS","ATS","1.1.9","SES-00-001","Grounding","","","46027","Completed however clamp on showed 0.06. Rec. using Fluke","","False","","Completed however clamp on showed 0.06. Rec. using Fluke","1","","2.5","0","2.5","COMPLETED","READY","","6","165","61025.625","1","1","","","412.5","0.125","20.625","0","0","0","0","0","0","0.125","20.625","0","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",,,,,
"IPS","ATS","1.1.10","SES-00-001","Conductors","","","46027","","","False","","","0","","4","4","4","NOT STARTED","NOT AVAILABLE","","6","165","61025.625","1","0","","","0","0.2","0","0","0","0","0","0","0","0.2","0","0","0","0.4","0","0","0","0","0",,,,,
"IPS","ATS","1.2.1","SWGR-00-001","Distribution","","","","Needs to be retested due to not being fully torqued at time of testing.","ACCEPTABLE","False","45994","Needs to be retested due to not being fully torqued at time of testing.","1","2","2.5","0","4.5","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","412.5","0.125","20.625","0","0","0","0","0","0","0.125","20.625","0","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",,,,,
"IPS","ATS","1.2.2","SWGR-00-001","Arresters","","","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.2.3","SWGR-00-001","Arresters","","","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.2.4","SWGR-00-001","Arresters","","","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.2.5","SWGR-00-001","Arresters","","","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.2.6","SWGR-00-001","Arresters","","","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.2.7","SWGR-00-001","Arresters","","","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.3.1","Instrument Transformers","Instrument Transformers","","","","52M1 CPT failed insulation resistance testing. Manufacturer to replace,","NON-SERVICEABLE","True","45994","52M1 CPT failed insulation resistance testing. Manufacturer to replace,","1","1","2.5","0","3.5","COMPLETED","ON HOLD","","6","165","61025.625","1","1","45998","Dec-2025","412.5","0.125","20.625","0","0","0","0","0","0","0.125","20.625","0","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",,,,,
"IPS","ATS","1.3.2","Instrument Transformers","Instrument Transformers","","","","","ACCEPTABLE","True","45994","","1","","2.5","0","2.5","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","412.5","0.125","20.625","0","0","0","0","0","0","0.125","20.625","0","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",,,,,
"IPS","ATS","1.3.3","Instrument Transformers","Instrument Transformers","","","","","ACCEPTABLE","False","45994","","1","","2.5","0","2.5","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","412.5","0.125","20.625","0","0","0","0","0","0","0.125","20.625","0","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",,,,,
"IPS","ATS","1.3.4","Instrument Transformers","Instrument Transformers","","","","","ACCEPTABLE","False","45994","","1","","2.5","0","2.5","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","412.5","0.125","20.625","0","0","0","0","0","0","0.125","20.625","0","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",,,,,
"IPS","ATS","1.3.5","Instrument Transformers","Instrument Transformers","","","","","ACCEPTABLE","False","45994","","1","","2.5","0","2.5","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","412.5","0.125","20.625","0","0","0","0","0","0","0.125","20.625","0","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",,,,,
"IPS","ATS","1.4.1","Overcurrent CT's","Instrument Transformers","","","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.4.2","Overcurrent CT's","Instrument Transformers","","","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.4.3","Overcurrent CT's","Instrument Transformers","","","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
