"Scope","NETA_Standard","Task_ID","Task","Apparatus","Designation","Drawing","Date Due","Notes","Assessment","DATASHEET","DATE COMPLETED","NOTES2","% COMPLETION","TASK DELAYS","Apparatus Hours","Remaining Hours","ACTUAL HOURS","STATUS","AVAILABILITY","PRIORITY","Apparatus Category"
"IPS","ATS","1.1.1","SES-00-001","Switchgear - Medium Voltage",,"","46027","Needs to be retested due to not meeting SRP specs. Bus needs to be rebuilt","NON-SERVICEABLE","False","","Needs to be retested due to not meeting SRP specs. Bus needs to be rebuilt","1","","2.5","0","2.5","COMPLETED","ON HOLD","","Distribution"
"IPS","ATS","1.1.2","SES-00-001","Arrestor - Medium Voltage (Set)",,"","46027","","","False","","","1","","2","0","2","COMPLETED","READY","","Arresters"
"IPS","ATS","1.1.3","SES-00-001","Control Power Transformer - MV Swgr",,"","46027","","","False","45994","","1","","2.5","0","2.5","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.1.4","SES-00-001","Potential Transformer - MV SWGR",,"","46027","","","False","45994","","1","","2.5","0","2.5","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.1.5","SES-00-001","Circuit Breaker MV - Vacuum Bkr",,"","46027","","","False","45993","","1","","4","0","4","COMPLETED","READY","","Circuit Breaker"
"IPS","ATS","1.1.6","SES-00-001","Current Transformer MV - Set of 3",,"","46027","","","False","45994","","1","","2","0","2","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.1.7","SES-00-001","Current Transformer - MV",,"","46027","","","False","45994","","1","","0.75","0","0.75","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.1.8","SES-00-001","Protective Relay (Feeder Protection)",,"","46027","","","False","","","0","","5","5","5","NOT STARTED","NOT AVAILABLE","","Protective Relay"
"IPS","ATS","1.1.9","SES-00-001","Ground Resistance Test - FOP or Clamp Method",,"","46027","Completed however clamp on showed 0.06. Rec. using Fluke","","False","","Completed however clamp on showed 0.06. Rec. using Fluke","1","","2.5","0","2.5","COMPLETED","READY","","Grounding"
"IPS","ATS","1.1.10","SES-00-001","Conductors MV - Set of 3 (VLF Hipotential)",,"","46027","","","False","","","0","","4","4","4","NOT STARTED","NOT AVAILABLE","","Conductors"
"IPS","ATS","1.2.1","SWGR-00-001","Switchgear - Medium Voltage",,"","","Needs to be retested due to not being fully torqued at time of testing.","ACCEPTABLE","False","45994","Needs to be retested due to not being fully torqued at time of testing.","1","2","2.5","0","4.5","COMPLETED","READY","","Distribution"
"IPS","ATS","1.2.2","SWGR-00-001","Arrestor - Medium Voltage (Set)",,"","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","Arresters"
"IPS","ATS","1.2.3","SWGR-00-001","Arrestor - Medium Voltage (Set)",,"","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","Arresters"
"IPS","ATS","1.2.4","SWGR-00-001","Arrestor - Medium Voltage (Set)",,"","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","Arresters"
"IPS","ATS","1.2.5","SWGR-00-001","Arrestor - Medium Voltage (Set)",,"","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","Arresters"
"IPS","ATS","1.2.6","SWGR-00-001","Arrestor - Medium Voltage (Set)",,"","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","Arresters"
"IPS","ATS","1.2.7","SWGR-00-001","Arrestor - Medium Voltage (Set)",,"","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","Arresters"
"IPS","ATS","1.3.1","Instrument Transformers","Control Power Transformer - MV Swgr",,"","","52M1 CPT failed insulation resistance testing. Manufacturer to replace,","NON-SERVICEABLE","True","45994","52M1 CPT failed insulation resistance testing. Manufacturer to replace,","1","1","2.5","0","3.5","COMPLETED","ON HOLD","","Instrument Transformers"
"IPS","ATS","1.3.2","Instrument Transformers","Control Power Transformer - MV Swgr",,"","","","ACCEPTABLE","True","45994","","1","","2.5","0","2.5","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.3.3","Instrument Transformers","Potential Transformer - MV SWGR",,"","","","ACCEPTABLE","False","45994","","1","","2.5","0","2.5","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.3.4","Instrument Transformers","Potential Transformer - MV SWGR",,"","","","ACCEPTABLE","False","45994","","1","","2.5","0","2.5","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.3.5","Instrument Transformers","Potential Transformer - MV SWGR",,"","","","ACCEPTABLE","False","45994","","1","","2.5","0","2.5","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.4.1","Overcurrent CT's","Current Transformer MV - Set of 3",,"","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.4.2","Overcurrent CT's","Current Transformer MV - Set of 3",,"","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","Instrument Transformers"
