"P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31","P32","P33","P34","P35"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"READY TO WORK","TOTAL APPARATUS","TOTAL COMPLETED","TOTAL REMAINING","COMPLETION %","ISSUE LOG / FAILED","PAST DUE / DUE NOW",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"12","143","99","44","0.612642905178211","4","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apparatus Category","Total Apparatus Count","Total Apparatus Completed","Total Apparatus Remaining","Percent Completion","Ready to Work","Apparatus Blocked",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Instrument Transformers","36","36","0","1","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Conductors","32","16","16","0.5","0","16",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Arresters","14","11","3","0.785714285714286","3","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Circuit Breaker","12","11","1","0.916666666666667","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Protective Relay","11","1","10","0.0909090909090909","0","10",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Motor Control","8","5","3","0.625","3","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Transformer","7","4","3","0.571428571428571","3","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Distribution","6","6","0","1","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Switch","5","3","2","0.6","0","2",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Grounding","4","4","0","1","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Reactor","3","0","3","0","3","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PQM","2","0","2","0","0","2",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Motor","2","2","0","1","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"UPS","1","0","1","0","0","1",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Total","143","99","44",,"12","31",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Distribution",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Arresters",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Instrument Transformers",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Circuit Breaker",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Protective Relay",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Grounding",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Conductors",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"PQM",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Transformer",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Motor Control",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Switch",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Reactor",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"UPS",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Motor",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
