"TABLE_NAME","COLUMN_NAME","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","IS_NULLABLE","IS_PK","IS_GUID"
"AssetAttribute","RelayGUID","nvarchar","20","NO","PK","GUID"
"AssetAttribute","Name","nvarchar","100","NO","PK",""
"AssetAttribute","StrVal","nvarchar","255","YES","",""
"AssetAttribute","FpVal","float","","YES","",""
"AssetAttribute","DateModified","datetime","","YES","",""
"AssetAttribute","SynchWriteDate","datetime","","YES","",""
"AssetAttribute","Type","int","","YES","",""
"AssetAttribute","LastModBy","nvarchar","20","YES","",""
"Config","Name","nvarchar","20","YES","",""
"Config","ConfigValue","nvarchar","80","YES","",""
"Curves","CurveGuid","nvarchar","20","NO","PK","GUID"
"Curves","DateModified","datetime","","YES","",""
"Curves","DateSynch","datetime","","YES","",""
"Curves","CurveType","nvarchar","50","YES","",""
"Curves","Manufacturer","nvarchar","50","YES","",""
"Curves","Model","nvarchar","100","YES","",""
"Curves","CurveName","nvarchar","50","YES","",""
"Curves","ScaleType","int","","YES","",""
"Curves","ResetEquation","nvarchar","80","YES","",""
"Curves","Notes","nvarchar","80","YES","",""
"Curves","CurveDataBin","varbinary","-1","YES","",""
"Curves","bIsDel","int","","YES","",""
"Curves","DeleteInfo","nvarchar","62","YES","",""
"Curves","Family","nvarchar","50","YES","",""
"Curves","TripUnit","nvarchar","50","YES","",""
"Curves","XmlData","nvarchar","-1","YES","",""
"Curves","SynchWriteDate","datetime","","YES","",""
"Curves","StatFlg","int","","YES","",""
"Curves","bLocked","tinyint","","YES","",""
"Curves","LockInfo","nvarchar","-1","YES","",""
"DeltaComment","TxtGUID","nvarchar","20","NO","PK","GUID"
"DeltaComment","ResultsGUID","nvarchar","20","YES","","GUID"
"DeltaComment","Txt","nvarchar","-1","YES","",""
"DeltaComment","DeltaDate","datetime","","YES","",""
"DeltaComment","SynchWriteDate","datetime","","YES","",""
"DeltaCorrAct","TxtGUID","nvarchar","20","NO","PK","GUID"
"DeltaCorrAct","ResultsGUID","nvarchar","20","YES","","GUID"
"DeltaCorrAct","Txt","nvarchar","-1","YES","",""
"DeltaCorrAct","DeltaDate","datetime","","YES","",""
"DeltaCorrAct","SynchWriteDate","datetime","","YES","",""
"DeltaDeficiency","TxtGUID","nvarchar","20","NO","PK","GUID"
"DeltaDeficiency","ResultsGUID","nvarchar","20","YES","","GUID"
"DeltaDeficiency","Txt","nvarchar","-1","YES","",""
"DeltaDeficiency","DeltaDate","datetime","","YES","",""
"DeltaDeficiency","SynchWriteDate","datetime","","YES","",""
"DeltaRecommend","TxtGUID","nvarchar","20","NO","PK","GUID"
"DeltaRecommend","ResultsGUID","nvarchar","20","YES","","GUID"
"DeltaRecommend","Txt","nvarchar","-1","YES","",""
"DeltaRecommend","DeltaDate","datetime","","YES","",""
"DeltaRecommend","SynchWriteDate","datetime","","YES","",""
"Device_Type","DeviceGUID","nvarchar","20","NO","PK","GUID"
"Device_Type","DeviceName","nvarchar","75","YES","",""
"Device_Type","Manufacturer","nvarchar","40","YES","",""
"Device_Type","IEEEDevice","nvarchar","60","YES","",""
"Device_Type","RptFilename","nvarchar","50","YES","",""
"Device_Type","DeviceLink","nvarchar","50","YES","",""
"Device_Type","bUseCustomRpt","int","","YES","",""
"Device_Type","Notes","nvarchar","-1","YES","",""
"Device_Type","Family","nvarchar","40","YES","",""
"Device_Type","TemplateDefinition","varbinary","-1","YES","",""
"Device_Type","DateModified","datetime","","YES","",""
"Device_Type","DateCreated","datetime","","YES","",""
"Device_Type","NameplateCrc","int","","YES","",""
"Device_Type","DateSynch","datetime","","YES","",""
"Device_Type","bIsDel","int","","YES","",""
"Device_Type","DeleteInfo","nvarchar","62","YES","",""
"Device_Type","bIsRetired","tinyint","","YES","",""
"Device_Type","MaintPeriod","int","","YES","",""
"Device_Type","bOptimaForm","tinyint","","YES","",""
"Device_Type","bSuggestUpdate","tinyint","","YES","",""
"Device_Type","FormNumber","int","","YES","",""
"Device_Type","TemplatesUsed","nvarchar","-1","YES","",""
"Device_Type","RevisionHistory","nvarchar","-1","YES","",""
"Device_Type","ScopeOfWork","varbinary","-1","YES","",""
"Device_Type","LastModBy","nvarchar","20","YES","",""
"Device_Type","CreatorGuid","nvarchar","20","YES","","GUID"
"Device_Type","ExternalTemplates","nvarchar","-1","YES","",""
"Device_Type","PreferenceLevel","int","","YES","",""
"Device_Type","ReplaceWith","nvarchar","20","YES","",""
"Device_Type","eFormType","int","","YES","",""
"Device_Type","InstFamily","nvarchar","40","YES","",""
"Device_Type","eInstFormType","int","","YES","",""
"Device_Type","SynchWriteDate","datetime","","YES","",""
"Device_Type","StatFlg","int","","YES","",""
"Device_Type","bLocked","tinyint","","YES","",""
"Device_Type","LockInfo","nvarchar","-1","YES","",""
"Device_Type_Print_Order","DeviceGUID","nvarchar","20","NO","PK","GUID"
"Device_Type_Print_Order","DevOrder","int","","YES","",""
"Device_Type_Print_Order","eRptType","int","","YES","",""
"Device_Type_Print_Order","DateModified","datetime","","YES","",""
"Device_Type_Print_Order","SynchWriteDate","datetime","","YES","",""
"Device_Type_Settings","IdentityId","int","","NO","PK",""
"Device_Type_Settings","DeviceGUID","nvarchar","20","YES","","GUID"
"Device_Type_Settings","GroupName","nvarchar","40","YES","",""
"Device_Type_Settings","SettingName","nvarchar","40","YES","",""
"Device_Type_Settings","Comments","nvarchar","255","YES","",""
"Device_Type_Settings","EnumStrings","nvarchar","255","YES","",""
"Device_Type_Settings","TypeOfData","nvarchar","50","YES","",""
"Device_Type_Settings","GroupOrder","int","","YES","",""
"Device_Type_Settings","SettingOrder","int","","YES","",""
"Device_Type_Settings","MinValue","float","","YES","",""
"Device_Type_Settings","MaxValue","float","","YES","",""
"DeviceHelp","ItemId","nvarchar","75","NO","PK",""
"DeviceHelp","HelpType","tinyint","","NO","PK",""
"DeviceHelp","HelpLanguage","nvarchar","30","NO","PK",""
"DeviceHelp","DateModified","datetime","","YES","",""
"DeviceHelp","HelpText","varbinary","-1","YES","",""
"DeviceHelp","Width","int","","YES","",""
"DeviceHelp","Height","int","","YES","",""
"DeviceHelp","SynchWriteDate","datetime","","YES","",""
"DeviceHelp","StatFlg","int","","YES","",""
"DeviceHelp","bLocked","tinyint","","YES","",""
"DeviceHelp","LockInfo","nvarchar","-1","YES","",""
"DeviceHelp","DateSynch","datetime","","YES","",""
"DeviceHelp","HelpDesc","nvarchar","75","YES","",""
"FolderAudit","AuditGUID","nvarchar","20","NO","PK","GUID"
"FolderAudit","Operation","int","","YES","",""
"FolderAudit","OpDate","datetime","","YES","",""
"FolderAudit","Info","nvarchar","62","YES","",""
"FolderAudit","bIsDel","int","","YES","",""
"FolderAudit","SynchWriteDate","datetime","","YES","",""
"FolderHierarchy","AncestorGUID","nvarchar","20","NO","PK","GUID"
"FolderHierarchy","DescendantGUID","nvarchar","20","NO","PK","GUID"
"FolderHierarchy","bIsDel","int","","YES","",""
"FolderHierarchy","Length","int","","YES","",""
"FolderHierarchy","CreateAuditGUID","nvarchar","20","YES","","GUID"
"FolderHierarchy","DeleteAuditGUID","nvarchar","20","YES","","GUID"
"FolderOrg","FolderGUID","nvarchar","20","NO","PK","GUID"
"FolderOrg","Name","nvarchar","80","YES","",""
"FolderOrg","RegionGUID","nvarchar","20","YES","","GUID"
"FolderOrg","OrderWeight","int","","YES","",""
"FolderOrg","ModifyAuditGUID","nvarchar","20","YES","","GUID"
"FormDataType","FormDataTypeGUID","nvarchar","20","NO","PK","GUID"
"FormDataType","Description","nvarchar","50","YES","",""
"FormDataType","DateModified","datetime","","YES","",""
"FormDataType","bIsDel","int","","YES","",""
"FormDataType","DeleteInfo","nvarchar","62","YES","",""
"FormDataType","SynchWriteDate","datetime","","YES","",""
"FormDataTypeTags","DeviceGUID","nvarchar","20","NO","PK","GUID"
"FormDataTypeTags","TagName","nvarchar","80","NO","PK",""
"FormDataTypeTags","FormDataTypeGUID","nvarchar","20","NO","PK","GUID"
"FormDataTypeTags","DateModified","datetime","","YES","",""
"FormDataTypeTags","bIsDel","int","","YES","",""
"FormDataTypeTags","DeleteInfo","nvarchar","62","YES","",""
"FormDataTypeTags","SynchWriteDate","datetime","","YES","",""
"FormFamily","Name","nvarchar","80","NO","PK",""
