Bus_Duct,Equipment,Tag_Num,Volts,Amp_Frame,Amp_Trip
1FOAS-BD-A-O1,LHS LASER WELDER ASSEMBLY 1,1,480,150,60
1FOAS-BD-A-O1,LHS LASER WELDER ASSEMBLY 1,2,480,150,60
1FOAS-BD-A-O1,LHS LASER WELDER ASSEMBLY 2,3,480,150,60
1FOAS-BD-A-O1,LHS LASER WELDER ASSEMBLY 2,4,480,150,60
1FOAS-BD-A-O1,LHS LASER WELDER ASSEMBLY 3,5,480,250,80
1FOAS-BD-A-O1,LHS LASER WELDER ASSEMBLY 3,6,480,250,80
1FOAS-BD-A-O1,LHS LASER WELDER ASSEMBLY 4,7,480,250,80
1FOAS-BD-A-O1,LHS LASER WELDER ASSEMBLY 4,8,480,250,80
1FOAS-BD-A-O1,LHS LASER WELDER ASSEMBLY 5,9,480,250,80
1FOAS-BD-A-O1,LHS LASER WELDER ASSEMBLY 5,10,480,250,80
1FOAS-BD-A-O1,1FOAS-HPP-1 18,11,480,600,600
1FOAS-BD-A-O1,1FOAS-HPP-1 06,12,480,400,400
1FOAS-BD-A-O1,1FOAS-HPP-1 15,13,480,400,400
1FOAS-BD-A-O1,FORMATION CNV #1A1,14,480,250,150
1FOAS-BD-A-O1,FORMATION CNV #1A2,15,480,250,125
1FOAS-BD-A-O1,COMMON WASHING 4,16,480,500,500
1FOAS-BD-A-O1,COMMON WASHING 4,17,480,250,40
1FOAS-BD-A-O1,WASHING HEAT 4,18,480,600,500
1FOAS-BD-A-O1,WASHING HEAT 4,19,480,600,500
1FOAS-BD-A-O1,WASHING CUU,20,480,150,40
1FOAS-BD-A-O1,COMMON IR UNLOADER,21,480,250,125
1FOAS-BD-A-O1,EL LEAK DETECTOR,22,480,250,125
1FOAS-BD-A-O1,LINE CT COMMON,23,480,150,75
1FOAS-BD-A-O1,VISUAL INSPECTOR COMMON,24,480,250,100
1FOAS-BD-A-O1,COMMON WASHING 5 FUTURE,25,480,500,500
1FOAS-BD-A-O1,COMMON WASHING 5 FUTURE,26,480,250,40
1FOAS-BD-A-O1,WASHING HEAT 5 FUTURE,27,480,600,500
1FOAS-BD-A-O1,WASHING HEAT 5 FUTURE,28,480,600,500
1FOAS-BD-A-O1,WASHING CUU 5 FUTURE,29,480,150,40
1FOAS-BD-A-O1,COMMON IR UNLOADER 5 FUTURE,30,480,250,125
1FOAS-BD-A-O1,EL LEAK DETECTOR 5 FUTURE,31,480,250,125
1FOAS-BD-A-O1,VISUAL INSPECTOR COMMON 5 FUTURE,32,480,250,100
1FOAS-BD-A-O1,LINE CT COMMON 5 FUTURE,33,480,150,75
