Bus_Duct,Equipment,Tag_Num,Volts,Amp_Frame,Amp_Trip
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,1,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,2,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,3,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,4,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,5,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,6,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,7,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,8,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,9,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,10,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,11,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,12,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,13,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,14,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,15,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,16,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,17,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,18,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,19,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,20,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,21,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,22,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,23,208,150,80
1FOAS-BD-C-O2A,COMMON NOTCHING WINDER,24,208,150,80
1FOAS-BD-C-O2A,1FOAS-LPP-1 06,25,208,250,250
