Bus_Duct,Equipment,Tag_Num,Volts,Amp_Frame,Amp_Trip
1FOEL-BD-A-O2,ANODE(-) NO.1 CLEANER #1 MIXER,1,480,250,225
1FOEL-BD-A-O2,ANODE(-) NO.2 CLEANER #1 MIXER,2,480,250,225
1FOEL-BD-A-O2,ANODE(-) NO.3 CLEANER #1 MIXER,3,480,250,225
1FOEL-BD-A-O2,ANODE(-) NO.3 CLEANER (BACK),4,480,250,225
1FOEL-BD-A-O2,ANODE(-) NO.3 CLEANER (TOP),5,480,250,225
1FOEL-BD-A-O2,ANODE(-) NO.3 BACK SLURRY TRANS PANEL,6,480,150,100
1FOEL-BD-A-O2,ANODE(-) NO.3 TOP SLURRY TRANS PANEL,7,480,150,100
1FOEL-BD-A-O2,ANODE(-) FEED VESSEL 3(300L) (BACK),8,480,250,150
1FOEL-BD-A-O2,ANODE(-) FEED VESSEL 3(300L) (BACK),9,480,250,150
1FOEL-BD-A-O2,ANODE(-) FEED VESSEL 3(300L) (TOP),10,480,250,150
1FOEL-BD-A-O2,ANODE(-) FEED VESSEL 3(300L) (TOP),11,480,250,150
1FOEL-BD-A-O2,ANODE(-) COATER PUB PANEL,12,480,150,50
1FOEL-BD-A-O2,ANODE(-) COATER ACO POWER PANEL,13,480,400,400
1FOEL-BD-A-O2,ANODE(-) COATER AC2 POWER PANEL,14,480,400,400
1FOEL-BD-A-O2,ANODE(-) COATER AC3A POWER PANEL,15,480,250,200
1FOEL-BD-A-O2,ANODE(-) COATER AC3B POWER PANEL,16,480,250,200
1FOEL-BD-A-O2,ANODE(-) COATER AC4A POWER PANEL,17,480,250,200
1FOEL-BD-A-O2,ANODE(-) COATER AC4B POWER PANEL,18,480,250,200
1FOEL-BD-A-O2,ANODE(-) COATER AC5 POWER PANEL,19,480,250,250
1FOEL-BD-A-O2,ANODE(-) TRANSFER TANK 3 (800L) (BACK),20,480,250,150
1FOEL-BD-A-O2,ANODE(-) TRANSFER TANK 3 (800L) (BACK),21,480,250,150
1FOEL-BD-A-O2,ANODE(-) TRANSFER TANK 3 (800L) (TOP),22,480,250,150
1FOEL-BD-A-O2,ANODE(-) TRANSFER TANK 3 (800L) (TOP),23,480,250,150
1FOEL-BD-A-O2,ANODE(-) COATER PUA PANEL,24,480,150,125
1FOEL-BD-A-O2,ANODE(-) COATER HEATER PANEL 1-1,25,480,600,600
1FOEL-BD-A-O2,ANODE(-) COATER HEATER PANEL 1-2,26,480,600,600
1FOEL-BD-A-O2,ANODE(-) COATER HEATER PANEL 1-3,27,480,600,600
1FOEL-BD-A-O2,ANODE CLEANER #2 MIXER,28,480,250,225
1FOEL-BD-A-O2,ANODE CLEANER #2 MIXER,29,480,250,225
1FOEL-BD-A-O2,ANODE CLEANER #2 MIXER,30,480,250,225
1FOEL-BD-A-O2,ANODE(-) COATER HEATER PANEL 2-1,31,480,600,600
1FOEL-BD-A-O2,ANODE(-) COATER HEATER PANEL 2-2,32,480,600,600
1FOEL-BD-A-O2,ANODE(-) COATER HEATER PANEL 2-3,33,480,600,600
1FOEL-BD-A-O2,ANODE(-) NO.2 BACK SLURRY TRANS PANEL,35,480,150,100
1FOEL-BD-A-O2,ANODE(-) FEED VESSEL 2(300L) BACK,36,480,250,150
1FOEL-BD-A-O2,ANODE(-) FEED VESSEL 2(300L) BACK,37,480,250,150
1FOEL-BD-A-O2,ANODE(-) TRANSFER TANK 2(800L) BACK,38,480,250,150
1FOEL-BD-A-O2,ANODE(-) TRANSFER TANK 2(800L) BACK,39,480,250,150
1FOEL-BD-A-O2,ANODE(-) NO.2 TOP SLURRY TRANS PANEL,41,480,150,100
