Bus_Duct,Equipment,Tag_Num,Volts,Amp_Frame,Amp_Trip
1FOEL-BD-A-O3b,ANODE(-) NO.1 CLEANER (TOP),1,480,250,225
1FOEL-BD-A-O3b,ANODE(-) NO.1 TOP SLURRY TRANS PANEL,2,480,150,100
1FOEL-BD-A-O3b,ANODE(-) TRANSFER TANK 1(800L) TOP,3,480,250,150
1FOEL-BD-A-O3b,ANODE(-) TRANSFER TANK 1(800L) TOP,4,480,250,150
1FOEL-BD-A-O3b,ANODE(-) TRANSFER TANK 2(800L) TOP,5,480,250,150
1FOEL-BD-A-O3b,ANODE(-) TRANSFER TANK 2(800L) TOP,6,480,250,150
1FOEL-BD-A-O3b,ANODE(-) FEED VESSEL 1(300L) TOP,7,480,250,150
1FOEL-BD-A-O3b,ANODE(-) FEED VESSEL 1(300L) TOP,8,480,250,150
1FOEL-BD-A-O3b,ANODE(-) FEED VESSEL 2(300L) TOP,9,480,250,150
1FOEL-BD-A-O3b,ANODE(-) FEED VESSEL 2(300L) TOP,10,480,250,150
1FOEL-BD-A-O3b,ANODE(-) COATER PUB PANEL,11,480,150,50
1FOEL-BD-A-O3b,ANODE(-) COATER AC4A POWER PANEL,12,480,250,200
1FOEL-BD-A-O3b,ANODE(-) COATER AC4B POWER PANEL,13,480,250,200
1FOEL-BD-A-O3b,ANODE(-) COATER AC5 POWER PANEL,14,480,250,250
1FOEL-BD-A-O3b,ANODE(-) COATER PUB PANEL,15,480,150,50
1FOEL-BD-A-O3b,ANODE(-) COATER AC4A POWER PANEL,16,480,250,200
1FOEL-BD-A-O3b,ANODE(-) COATER AC4B POWER PANEL,17,480,250,200
1FOEL-BD-A-O3b,ANODE(-) COATER AC5 POWER PANEL,18,480,250,250
1FOEL-BD-A-O3b,ANODE(-) COATER HEATER PANEL 1-1,19,480,600,600
1FOEL-BD-A-O3b,ANODE(-) COATER HEATER PANEL 1-2,20,480,600,600
1FOEL-BD-A-O3b,ANODE(-) COATER HEATER PANEL 1-3,21,480,600,600
1FOEL-BD-A-O3b,ANODE(-) COATER AC3B POWER PANEL,22,480,250,200
1FOEL-BD-A-O3b,ANODE(-) COATER AC3B POWER PANEL,23,480,250,200
1FOEL-BD-A-O3b,ANODE(-) COATER AC3A POWER PANEL,24,480,250,200
1FOEL-BD-A-O3b,ANODE(-) COATER AC3A POWER PANEL,25,480,250,200
