Bus_Duct,Equipment,Tag_Num,Volts,Amp_Frame,Amp_Trip
1FOEL-BD-B-O1A,INVERTER PANEL,1,480,600,500
1FOEL-BD-B-O1A,CONTROL/DRIVE PANEL,2,480,150,40
1FOEL-BD-B-O1A,INVERTER PANEL,3,480,600,500
1FOEL-BD-B-O1A,CONTROL/DRIVE PANEL,4,480,150,40
1FOEL-BD-B-O1A,INVERTER PANEL,5,480,600,500
1FOEL-BD-B-O1A,CONTROL/DRIVE PANEL,6,480,150,40
1FOEL-BD-B-O1A,INVERTER PANEL,7,480,600,500
1FOEL-BD-B-O1A,CONTROL/DRIVE PANEL,8,480,150,40
1FOEL-BD-B-O1A,INVERTER PANEL,9,480,600,500
1FOEL-BD-B-O1A,CONTROL/DRIVE PANEL,10,480,150,40
1FOEL-BD-B-O1A,INVERTER PANEL,11,480,600,500
1FOEL-BD-B-O1A,CONTROL/DRIVE PANEL,12,480,150,40
1FOEL-BD-B-O1A,INVERTER PANEL,13,480,600,500
1FOEL-BD-B-O1A,CONTROL/DRIVE PANEL,14,480,150,40
1FOEL-BD-B-O1A,INVERTER PANEL,15,480,600,500
1FOEL-BD-B-O1A,CONTROL/DRIVE PANEL,16,480,150,40
1FOEL-BD-B-O1A,1FOEL-HPP-1 01,17,480,400,250
1FOEL-BD-B-O1A,CONTROL/DRIVE PANEL,18,480,150,40
1FOEL-BD-B-O1A,CONTROL/DRIVE PANEL,19,480,150,40
1FOEL-BD-B-O1A,CONTROL/DRIVE PANEL,20,480,150,40
1FOEL-BD-B-O1A,CONTROL/DRIVE PANEL,21,480,150,40
1FOEL-BD-B-O1A,CONTROL/DRIVE PANEL,22,480,150,40
1FOEL-BD-B-O1A,CONTROL/DRIVE PANEL,23,480,150,40
1FOEL-BD-B-O1A,CONTROL/DRIVE PANEL,24,480,150,40
1FOEL-BD-B-O1A,ANODE(-) MAIN PANEL CHILLER #12,25,480,250,250
1FOEL-BD-B-O1A,ANODE(-) R2R DRYER MAIN PANEL #12,26,480,400,400
