Bus_Duct,Equipment,Tag_Num,Volts,Amp_Frame,Amp_Trip
1FOEL-BD-B-O1B,ANODE(-) MAIN PANEL CHILLER #1,1,480,250,250
1FOEL-BD-B-O1B,ANODE(-) R2R DRYER MAIN PANEL #1,2,480,400,400
1FOEL-BD-B-O1B,ANODE(-) MAIN PANEL CHILLER #2,3,480,250,250
1FOEL-BD-B-O1B,ANODE(-) R2R DRYER MAIN PANEL #2,4,480,400,400
1FOEL-BD-B-O1B,ANODE(-) MAIN PANEL CHILLER #3,5,480,250,250
1FOEL-BD-B-O1B,ANODE(-) R2R DRYER MAIN PANEL #3,6,480,400,400
1FOEL-BD-B-O1B,ANODE(-) MAIN PANEL CHILLER #4,7,480,250,250
1FOEL-BD-B-O1B,ANODE(-) R2R DRYER MAIN PANEL #4,8,480,400,400
1FOEL-BD-B-O1B,ANODE(-) MAIN PANEL CHILLER #5,9,480,250,250
1FOEL-BD-B-O1B,ANODE(-) R2R DRYER MAIN PANEL #5,10,480,400,400
1FOEL-BD-B-O1B,ANODE(-) MAIN PANEL CHILLER #6,11,480,250,250
1FOEL-BD-B-O1B,ANODE(-) R2R DRYER MAIN PANEL #6,12,480,400,400
1FOEL-BD-B-O1B,ANODE(-) MAIN PANEL CHILLER #7,13,480,250,250
1FOEL-BD-B-O1B,ANODE(-) R2R DRYER MAIN PANEL #7,14,480,400,400
1FOEL-BD-B-O1B,ANODE(-) MAIN PANEL CHILLER #8,15,480,250,250
1FOEL-BD-B-O1B,ANODE(-) R2R DRYER MAIN PANEL #8,16,480,400,400
1FOEL-BD-B-O1B,ANODE(-) MAIN PANEL CHILLER #9,17,480,250,250
1FOEL-BD-B-O1B,ANODE(-) R2R DRYER MAIN PANEL #9,18,480,400,400
1FOEL-BD-B-O1B,ANODE(-) MAIN PANEL CHILLER #10,19,480,250,250
1FOEL-BD-B-O1B,ANODE(-) R2R DRYER MAIN PANEL #10,20,480,400,400
1FOEL-BD-B-O1B,ANODE(-) MAIN PANEL CHILLER #11,21,480,250,250
1FOEL-BD-B-O1B,ANODE(-) R2R DRYER MAIN PANEL #11,22,480,400,400
1FOEL-BD-B-O1B,1FOEL-HPP-1 02,25,480,400,250
