Bus_Duct,Equipment,Tag_Num,Volts,Amp_Frame,Amp_Trip
1FOEL-BD-C-O2,CATHODE(+) NO.1-1 BTM MIXER,1,480,600,500
1FOEL-BD-C-O2,CATHODE(+) NO.1-2 BTM MIXER,2,480,600,500
1FOEL-BD-C-O2,CATHODE(+) NO.1-3 BTM MIXER,3,480,600,500
1FOEL-BD-C-O2,CATHODE(+) NO.1-1 MCC#1,4,480,400,300
1FOEL-BD-C-O2,CATHODE(+) NO.1-2 MCC#1,5,480,400,300
1FOEL-BD-C-O2,CATHODE(+) NO.1-3 MCC#1,6,480,400,300
1FOEL-BD-C-O2,CATHODE(+) NO.1-1 MCC#2 (PRE MIXER),7,480,600,600
1FOEL-BD-C-O2,CATHODE(+) NO.1-2 MCC#2 (PRE MIXER),8,480,600,600
1FOEL-BD-C-O2,CATHODE(+) NO.1-3 MCC#2 (PRE MIXER),9,480,600,600
1FOEL-BD-C-O2,CATHODE(+) NO.1-1 EMF(SLURRY),10,480,250,175
1FOEL-BD-C-O2,CATHODE(+) NO.1-1-1-2 EMF(PRE MIXER),11,480,250,175
1FOEL-BD-C-O2,CATHODE(+) NO.1-1 NETZSCH,12,480,250,200
1FOEL-BD-C-O2,CATHODE(+) NO.1-1 NETZSCH,13,480,250,200
1FOEL-BD-C-O2,CATHODE(+) NO.1-1 NETZSCH,14,480,250,200
1FOEL-BD-C-O2,CATHODE(+) NO.2-1 BTM MIXER,18,480,600,500
1FOEL-BD-C-O2,CATHODE(+) NO.2-2 BTM MIXER,19,480,600,500
1FOEL-BD-C-O2,CATHODE(+) NO.2-3 BTM MIXER,20,480,600,500
1FOEL-BD-C-O2,CATHODE(+) NO.2-1 MCC#1,21,480,400,300
1FOEL-BD-C-O2,CATHODE(+) NO.2-2 MCC#1,22,480,400,300
1FOEL-BD-C-O2,CATHODE(+) NO.2-3 MCC#1,23,480,400,300
1FOEL-BD-C-O2,CATHODE(+) NO.2-1 MCC#2 (PRE MIXER),24,480,600,600
1FOEL-BD-C-O2,CATHODE(+) NO.2-2 MCC#2 (PRE MIXER),25,480,600,600
1FOEL-BD-C-O2,CATHODE(+) NO.2-3 MCC#2 (PRE MIXER),26,480,600,600
1FOEL-BD-C-O2,CATHODE(+) NO.2-1 EMF(SLURRY),27,480,250,175
1FOEL-BD-C-O2,CATHODE(+) NO.2-1-2-2 EMF(PRE MIXER),28,480,250,175
1FOEL-BD-C-O2,CATHODE(+) NO.2-1 NETZSCH,29,480,250,200
1FOEL-BD-C-O2,CATHODE(+) NO.2-1 NETZSCH,30,480,250,200
1FOEL-BD-C-O2,CATHODE(+) NO.2-1 NETZSCH,31,480,250,200
1FOEL-BD-C-O2,CATHODE(+) NO.3-1 BTM MIXER,35,480,600,500
1FOEL-BD-C-O2,CATHODE(+) NO.3-2 BTM MIXER,36,480,600,500
1FOEL-BD-C-O2,CATHODE(+) NO.3-3 BTM MIXER,37,480,600,500
1FOEL-BD-C-O2,CATHODE(+) HOIST POWER DIST,38,480,400,300
1FOEL-BD-C-O2,CATHODE(+) HOIST POWER DIST,39,480,400,300
