Bus_Duct,Equipment,Tag_Num,Volts,Amp_Frame,Amp_Trip
1FOEL-BD-C-O4A,CATHODE(+) AC3A POWER PANEL,1,480,250,250
1FOEL-BD-C-O4A,CATHODE(+) AC3B POWER PANEL,2,480,250,250
1FOEL-BD-C-O4A,CATHODE(+) AC4A POWER PANEL,3,480,250,250
1FOEL-BD-C-O4A,CATHODE(+) AC4B POWER PANEL,4,480,250,250
1FOEL-BD-C-O4A,CATHODE(+) AC5 POWER PANEL,5,480,250,250
1FOEL-BD-C-O4A,CATHODE(+) AC6 POWER PANEL,6,480,400,400
1FOEL-BD-C-O4A,CATHODE(+) AC7 POWER PANEL,7,480,400,400
1FOEL-BD-C-O4A,CATHODE(+) COATER PUA PANEL,8,480,150,125
1FOEL-BD-C-O4A,CATHODE(+) COATER PUB PANEL,9,480,150,50
1FOEL-BD-C-O4A,CATHODE(+) AC3A POWER PANEL,10,480,250,250
1FOEL-BD-C-O4A,CATHODE(+) AC3B POWER PANEL,11,480,250,250
1FOEL-BD-C-O4A,CATHODE(+) AC4A POWER PANEL,12,480,250,250
1FOEL-BD-C-O4A,CATHODE(+) AC4B POWER PANEL,13,480,250,250
1FOEL-BD-C-O4A,CATHODE(+) AC5 POWER PANEL,14,480,250,250
1FOEL-BD-C-O4A,CATHODE(+) AC6 POWER PANEL,15,480,400,400
1FOEL-BD-C-O4A,CATHODE(+) AC7 POWER PANEL,16,480,400,400
1FOEL-BD-C-O4A,CATHODE(+) COATER PUA PANEL,17,480,150,125
1FOEL-BD-C-O4A,CATHODE(+) COATER PUB PANEL,18,480,150,50
1FOEL-BD-C-O4A,CATHODE(+) NO.3 BACK SLURRY TRANSFER PANEL,19,480,150,100
1FOEL-BD-C-O4A,CATHODE(+) FEED VESSEL WH-C31V1(300L) TOP,20,480,250,150
1FOEL-BD-C-O4A,CATHODE(+) FEED VESSEL WH-C32V1(300L) BACK,21,480,250,150
1FOEL-BD-C-O4A,CATHODE(+) NO.3 TOP SLURRY TRANSFER PANEL,22,480,150,100
1FOEL-BD-C-O4A,CATHODE(+) TRANSFER TANK WH-C31M1(800L) TOP,23,480,250,150
1FOEL-BD-C-O4A,CATHODE(+) TRANSFER TANK WH-C32M1(800L) BACK,25,480,250,150
1FOEL-BD-C-O4A,CATHODE(+) TRANSFER TANK WH-C22M1(800L) BACK,27,480,250,150
1FOEL-BD-C-O4A,CATHODE(+) FEED VESSEL WH-C22V1(300L) BACK,29,480,250,150
1FOEL-BD-C-O4A,CATHODE(+) COATER UPS,30,480,800,800
