Bus_Duct,Equipment,Tag_Num,Volts,Amp_Frame,Amp_Trip
1FOEL-BD-D-O2A,COLD OIL CONTROLLER PANEL (#2),2,480,150,40
1FOEL-BD-D-O2A,COLD HOT OIL CONTROLLER PANEL,3,480,150,100
1FOEL-BD-D-O2A,COLD OIL CONTROL PANEL,4,480,150,70
1FOEL-BD-D-O2A,COLD OIL CONTROLLER PANEL (#1),5,480,150,40
1FOEL-BD-D-O2A,IHU PANEL,6,480,150,100
1FOEL-BD-D-O2A,COLD OIL CONTROLLER PANEL (#2),8,480,150,40
1FOEL-BD-D-O2A,COLD HOT OIL CONTROLLER PANEL,9,480,150,100
1FOEL-BD-D-O2A,COLD OIL CONTROL PANEL,10,480,150,70
1FOEL-BD-D-O2A,COLD OIL CONTROLLER PANEL (#1),11,480,150,40
1FOEL-BD-D-O2A,IHU PANEL,12,480,150,100
1FOEL-BD-D-O2A,COLD OIL CONTROLLER PANEL,14,480,150,40
1FOEL-BD-D-O2A,COLD HOT OIL CONTROLLER PANEL,15,480,150,100
1FOEL-BD-D-O2A,COLD OIL CONTROL PANEL,16,480,150,70
1FOEL-BD-D-O2A,COLD OIL CONTROLLER PANEL (#1),17,480,150,40
1FOEL-BD-D-O2A,IHU PANEL,18,480,150,100
1FOEL-BD-D-O2A,COLD OIL CONTROLLER PANEL (#2),20,480,150,40
1FOEL-BD-D-O2A,COLD HOT OIL CONTROLLER PANEL,21,480,150,100
1FOEL-BD-D-O2A,COLD OIL CONTROL PANEL,22,480,150,70
1FOEL-BD-D-O2A,COLD OIL CONTROLLER PANEL (#1),23,480,150,40
1FOEL-BD-D-O2A,IHU PANEL,24,480,150,100
1FOEL-BD-D-O2A,COLD OIL CONTROLLER PANEL (#2),26,480,150,40
1FOEL-BD-D-O2A,COLD HOT OIL CONTROLLER PANEL,27,480,150,100
1FOEL-BD-D-O2A,COLD OIL CONTROL PANEL,28,480,150,70
1FOEL-BD-D-O2A,COLD OIL CONTROLLER PANEL (#1),29,480,150,40
1FOEL-BD-D-O2A,IHU PANEL,30,480,150,100
1FOEL-BD-D-O2A,COLD OIL CONTROLLER PANEL (#2),32,480,150,40
1FOEL-BD-D-O2A,COLD HOT OIL CONTROLLER PANEL,33,480,150,100
1FOEL-BD-D-O2A,COLD OIL CONTROL PANEL,34,480,150,70
1FOEL-BD-D-O2A,COLD OIL CONTROLLER PANEL (#1),35,480,150,40
1FOEL-BD-D-O2A,IHU PANEL,36,480,150,100
1FOEL-BD-D-O2A,COLD OIL CONTROLLER PANEL (#2),38,480,150,40
1FOEL-BD-D-O2A,COLD HOT OIL CONTROLLER PANEL,39,480,150,100
1FOEL-BD-D-O2A,COLD OIL CONTROL PANEL,40,480,150,70
1FOEL-BD-D-O2A,COLD OIL CONTROLLER PANEL (#1),41,480,150,40
1FOEL-BD-D-O2A,IHU PANEL,42,480,150,100
1FOEL-BD-D-O2A,COLD OIL CONTROLLER PANEL (#2),44,480,150,40
1FOEL-BD-D-O2A,COLD HOT OIL CONTROLLER PANEL,45,480,150,100
1FOEL-BD-D-O2A,COLD OIL CONTROLLER PANEL,46,480,150,40
1FOEL-BD-D-O2A,COLD OIL CONTROLLER PANEL (#1),47,480,150,40
1FOEL-BD-D-O2A,IHU PANEL,48,480,150,100
1FOEL-BD-D-O2A,1FOEL-HPP-1 03,49,480,400,250
