Bus_Duct,Equipment,Tag_Num,Volts,Amp_Frame,Amp_Trip
1FOEL-BD-D-O2B,INVERTER PANEL,1,480,600,600
1FOEL-BD-D-O2B,COLD HOT OIL CONTROLLER PANEL,2,480,250,100
1FOEL-BD-D-O2B,INVERTER PANEL,4,480,600,600
1FOEL-BD-D-O2B,COLD HOT OIL CONTROLLER PANEL,5,480,250,100
1FOEL-BD-D-O2B,INVERTER PANEL,7,480,600,600
1FOEL-BD-D-O2B,COLD HOT OIL CONTROLLER PANEL,8,480,250,100
1FOEL-BD-D-O2B,INVERTER PANEL,10,480,600,600
1FOEL-BD-D-O2B,COLD HOT OIL CONTROLLER PANEL,11,480,250,100
1FOEL-BD-D-O2B,INVERTER PANEL,13,480,600,600
1FOEL-BD-D-O2B,COLD HOT OIL CONTROLLER PANEL,14,480,250,100
1FOEL-BD-D-O2B,INVERTER PANEL,16,480,600,600
1FOEL-BD-D-O2B,COLD HOT OIL CONTROLLER PANEL,17,480,250,100
1FOEL-BD-D-O2B,INVERTER PANEL,19,480,600,600
1FOEL-BD-D-O2B,COLD HOT OIL CONTROLLER PANEL,20,480,250,100
1FOEL-BD-D-O2B,INVERTER PANEL,22,480,600,600
1FOEL-BD-D-O2B,COLD HOT OIL CONTROLLER PANEL,23,480,250,100
