Bus_Duct,Equipment,Tag_Num,Volts,Amp_Frame,Amp_Trip
1FOEL-BD-D-O3,CATHODE(+) MAIN PANEL CHILLER #1,1,480,250,200
1FOEL-BD-D-O3,CATHODE(+) MAIN PANEL CHILLER #2,2,480,250,200
1FOEL-BD-D-O3,CATHODE(+) MAIN PANEL CHILLER #3,3,480,250,200
1FOEL-BD-D-O3,CATHODE(+) MAIN PANEL CHILLER #4,4,480,250,200
1FOEL-BD-D-O3,CATHODE(+) MAIN PANEL CHILLER #5,5,480,250,200
1FOEL-BD-D-O3,CATHODE(+) MAIN PANEL CHILLER #6,6,480,250,200
1FOEL-BD-D-O3,CATHODE(+) MAIN PANEL CHILLER #7,7,480,250,200
1FOEL-BD-D-O3,CATHODE(+) MAIN PANEL CHILLER #8,8,480,250,200
1FOEL-BD-D-O3,CATHODE(+) MAIN PANEL CHILLER #9,9,480,250,200
1FOEL-BD-D-O3,CATHODE(+) MAIN PANEL CHILLER #10,10,480,250,200
1FOEL-BD-D-O3,CATHODE(+) MAIN PANEL CHILLER #11,11,480,250,200
1FOEL-BD-D-O3,CATHODE(+) MAIN PANEL CHILLER #12,12,480,250,200
1FOEL-BD-D-O3,1FOEL-HPP-1 04,13,480,400,250
1FOEL-BD-D-O3,PANCAKE REWINDER CATHODE IHU PANEL,14,480,250,100
1FOEL-BD-D-O3,PANCAKE REWINDER CATHODE IHU PANEL,15,480,250,100
1FOEL-BD-D-O3,PANCAKE REWINDER CATHODE IHU PANEL,16,480,250,100
