Designation,Type_Code,Type_Name,Source_SLD
1F0AS-ATS-2 01,ATS,Automatic Transfer Switch,1F0-E601 
1F0AS-ATS-2 02,ATS,Automatic Transfer Switch,1F0-E601 
1F0AS-ESWB-02,ESWB,Emergency Switchboard,1F0-E601 
1F0AS-SS-B-05,SS,Switchgear/Substation,1F0-E601 
1F0AS-SS-C-01,SS,Switchgear/Substation,1F0-E601 
1F0EL-ATS-2 01,ATS,Automatic Transfer Switch,1F0-E601 
1F0EL-ATS-2 02,ATS,Automatic Transfer Switch,1F0-E601 
1F0EL-ESWB-01,ESWB,Emergency Switchboard,1F0-E601 
1F0EL-BD-A-01,BD,Breaker/Distribution,1F0EL-SS-A-01
1F0EL-HPDP-3 01,HPDP,High Power Distribution Panel,1F0EL-SS-A-01
1F0EL-SS-A-01,SS,Switchgear/Substation,1F0EL-SS-A-01
1F0EL-BD-A-03B,BD,Breaker/Distribution,1F0EL-SS-A-03
1F0EL-SS-A-03,SS,Switchgear/Substation,1F0EL-SS-A-03
1F0EL-BD-B-01A,BD,Breaker/Distribution,1F0EL-SS-B-01
1F0EL-BD-B-01B,BD,Breaker/Distribution,1F0EL-SS-B-01
1F0EL-HPP-1 01,HPP,High Power Panel,1F0EL-SS-B-01
1F0EL-SS-B-01,SS,Switchgear/Substation,1F0EL-SS-B-01
1F0EL-SS-B-02,SS,Switchgear/Substation,1F0EL-SS-B-01
1F0EL-DS-2 01,DS,Disconnect Switch,1F0EL-SS-B-02
1F0EL-SS-B-02,SS,Switchgear/Substation,1F0EL-SS-B-02
1F0EL-SS-B-03,SS,Switchgear/Substation,1F0EL-SS-B-02
1F0EL-DS-2,DS,Disconnect Switch,1F0EL-SS-B-03
1F0EL-DS-2 02,DS,Disconnect Switch,1F0EL-SS-B-03
1F0EL-DS-2 03,DS,Disconnect Switch,1F0EL-SS-B-03
1F0EL-DS-2 04,DS,Disconnect Switch,1F0EL-SS-B-03
1F0EL-DS-2 05,DS,Disconnect Switch,1F0EL-SS-B-03
1F0EL-DS-2 06,DS,Disconnect Switch,1F0EL-SS-B-03
1F0EL-SS-B-03,SS,Switchgear/Substation,1F0EL-SS-B-03
1F0EL-SS-B-04,SS,Switchgear/Substation,1F0EL-SS-B-03
1F0EL-SS-B-03,SS,Switchgear/Substation,1F0EL-SS-B-04
1F0EL-SS-B-04,SS,Switchgear/Substation,1F0EL-SS-B-04
