FieldLogicalName,DisplayName,Type,MaxLength,Required,Description,LookupTarget
cr950_scopelabor_name,Labor Detail Name,String,200,true,Auto-generated: Scope Name + Labor Config,
cr950_scopelabor_scope,Scope,Lookup,,true,Parent scope,cr950_scope
cr950_scopelabor_total_hours,Total Apparatus Hours,Decimal,,true,Sum of all apparatus hours in scope (denominator),
cr950_scopelabor_multiplier,Scope Multiplier,Decimal,,false,Adjustment multiplier (default 1.0 = 100%),
cr950_scopelabor_quoted_amount,Quoted Amount,Currency,,false,Total quoted amount from estimator,
cr950_scopelabor_onsite_total,Onsite Labor Total,Currency,,false,Total onsite labor cost from estimator,
cr950_scopelabor_offsite_total,Offsite Labor Total,Currency,,false,Total offsite labor cost from estimator,
cr950_scopelabor_travel_total,Travel Total,Currency,,false,Total travel cost from estimator,
cr950_scopelabor_outside_total,Outside Services Total,Currency,,false,Total outside services cost from estimator,
cr950_scopelabor_onsite_rate,Onsite Rate,Currency,,false,CALC: Onsite Total / Total Hours,
cr950_scopelabor_offsite_rate,Offsite Rate,Currency,,false,CALC: Offsite Total / Total Hours,
cr950_scopelabor_travel_rate,Travel Rate,Currency,,false,CALC: Travel Total / Total Hours,
cr950_scopelabor_outside_rate,Outside Services Rate,Currency,,false,CALC: Outside Total / Total Hours,
cr950_scopelabor_sum_of_rates,Sum of Rates,Currency,,false,CALC: All 4 rates added together,
cr950_scopelabor_effective_rate,Effective Labor Rate,Currency,,false,CALC: Sum of Rates x Multiplier = BLENDED RATE,
cr950_scopelabor_not_adjusted,Not Adjusted Total,Currency,,false,CALC: Sum of all 4 category totals,
cr950_scopelabor_adjusted,Adjusted Total,Currency,,false,CALC: Not Adjusted x Multiplier,
cr950_scopelabor_source,Source,String,50,false,ESTIMATOR / MANUAL / ADJUSTED,
cr950_scopelabor_notes,Notes,Memo,2000,false,Notes about labor configuration,
cr950_scopelabor_active,Active,Boolean,,false,Is record active,
