TaskID,TaskName,Scope,NETAStandard,Apparatus,Designation,Status,Priority,ApparatusHours,ActualHours,PercentComplete
5.1.1,Main Switchgear,LAS16.PPM05,PPM,Switchboard - Low Voltage,,,,4.0,4.0,0
5.1.2,Main Switchgear,LAS16.PPM05,PPM,Circuit Breaker LV - Draw-Out,5000AF / 4200AT,,,4.0,4.0,0
5.1.3,Main Switchgear,LAS16.PPM05,PPM,Circuit Breaker LV - Draw-Out,5000AF / 4200AT,,,4.0,4.0,0
5.1.4,Main Switchgear,LAS16.PPM05,PPM,Circuit Breaker LV - (LS/LSI),400AF / 400AT,,,3.0,3.0,0
5.1.5,Main Switchgear,LAS16.PPM05,PPM,Circuit Breaker LV - (LS/LSI),400AF / 400AT,,,3.0,3.0,0
5.1.6,Main Switchgear,LAS16.PPM05,PPM,Circuit Breaker LV - (LS/LSI),600AF / 400 AT,,,3.0,3.0,0
5.1.7,Main Switchgear,LAS16.PPM05,PPM,Circuit Breaker LV - (LS/LSI),600AF / 400 AT,,,3.0,3.0,0
5.1.8,Main Switchgear,LAS16.PPM05,PPM,Circuit Breaker LV - (LS/LSI),600AF / 400 AT,,,3.0,3.0,0
5.1.9,Main Switchgear,LAS16.PPM05,PPM,Circuit Breaker LV - (LS/LSI),1200AF / 800AT,,,3.0,3.0,0
5.1.10,Main Switchgear,LAS16.PPM05,PPM,Circuit Breaker LV - (LS/LSI),1200AF / 800AT,,,3.0,3.0,0
5.1.11,Main Switchgear,LAS16.PPM05,PPM,Circuit Breaker LV - (LS/LSI),2000AF / 1600AT,,,3.0,3.0,0
5.1.12,Main Switchgear,LAS16.PPM05,PPM,Circuit Breaker LV - (LS/LSI),2000AF / 1600AT,,,3.0,3.0,0
5.1.13,Main Switchgear,LAS16.PPM05,PPM,Circuit Breaker LV - (LS/LSI),2000AF / 1600AT,,,3.0,3.0,0
5.1.14,Main Switchgear,LAS16.PPM05,PPM,Circuit Breaker LV - (LS/LSI),2000AF / 1600AT,,,3.0,3.0,0
5.1.15,Main Switchgear,LAS16.PPM05,PPM,Circuit Breaker LV - (LS/LSI),2000AF / 1600AT,,,3.0,3.0,0
5.1.16,Main Switchgear,LAS16.PPM05,PPM,Circuit Breaker LV - (LS/LSI),2000AF / 1600AT,,,3.0,3.0,0
5.1.17,Main Switchgear,LAS16.PPM05,PPM,Circuit Breaker LV - (LS/LSI),3000AT / 2500AT,,,3.0,3.0,0
5.1.18,Main Switchgear,LAS16.PPM05,PPM,Circuit Breaker LV - (LS/LSI),3000AT / 2500AT,,,3.0,3.0,0
5.1.19,Main Switchgear,LAS16.PPM05,PPM,Circuit Breaker LV - (LS/LSI),HLP02A MAIN,,,3.0,3.0,0
5.1.20,Main Switchgear,LAS16.PPM05,PPM,Conductors LV - 3 Phase Feeder (Lot),,,,18.6,18.6,0
5.1.21,Main Switchgear,LAS16.PPM05,PPM,Panelboard - Low Voltage,HLP01A,,,0.5,0.5,0
5.1.22,Main Switchgear,LAS16.PPM05,PPM,Panelboard - Low Voltage,HLP02A,,,0.5,0.5,0
5.1.23,Main Switchgear,LAS16.PPM05,PPM,Transformer (Dry Type up to 499kVA),TLVP,,,2.0,2.0,0
5.1.24,Main Switchgear,LAS16.PPM05,PPM,Switch LV - Fused Disconnect,,,,1.5,1.5,0
5.2.1,PDU,LAS16.PPM05,PPM,Circuit Breaker LV - Secondary Injection,1600AF / 1600AT,,,2.0,2.0,0
5.2.2,PDU,LAS16.PPM05,PPM,Circuit Breaker LV - Secondary Injection,1600AF / 1600AT,,,2.0,2.0,0
5.2.3,PDU,LAS16.PPM05,PPM,Circuit Breaker LV - Secondary Injection,400AF / 400AT,,,2.0,2.0,0
5.2.4,PDU,LAS16.PPM05,PPM,Circuit Breaker LV - Secondary Injection,400AF / 400AT,,,2.0,2.0,0
5.2.5,PDU,LAS16.PPM05,PPM,Circuit Breaker LV - Secondary Injection,400AF / 400AT,,,2.0,2.0,0
5.2.6,PDU,LAS16.PPM05,PPM,Circuit Breaker LV - Secondary Injection,400AF / 400AT,,,2.0,2.0,0
5.2.7,PDU,LAS16.PPM05,PPM,Circuit Breaker LV - Secondary Injection,400AF / 400AT,,,2.0,2.0,0
5.2.8,PDU,LAS16.PPM05,PPM,Circuit Breaker LV - Secondary Injection,400AF / 400AT,,,2.0,2.0,0
5.2.9,PDU,LAS16.PPM05,PPM,Circuit Breaker LV - Secondary Injection,400AF / 400AT,,,2.0,2.0,0
5.2.10,PDU,LAS16.PPM05,PPM,Circuit Breaker LV - Secondary Injection,400AF / 400AT,,,2.0,2.0,0
5.2.11,PDU,LAS16.PPM05,PPM,Circuit Breaker LV - Secondary Injection,400AF / 400AT,,,2.0,2.0,0
5.2.12,PDU,LAS16.PPM05,PPM,Circuit Breaker LV - Secondary Injection,400AF / 400AT,,,2.0,2.0,0
5.2.13,PDU,LAS16.PPM05,PPM,Circuit Breaker LV - Secondary Injection,400AF / 400AT,,,2.0,2.0,0
5.2.14,PDU,LAS16.PPM05,PPM,Circuit Breaker LV - Secondary Injection,400AF / 400AT,,,2.0,2.0,0
5.2.15,PDU,LAS16.PPM05,PPM,Circuit Breaker LV - Secondary Injection,400AF / 400AT,,,2.0,2.0,0
5.2.16,PDU,LAS16.PPM05,PPM,Circuit Breaker LV - Secondary Injection,400AF / 400AT,,,2.0,2.0,0
5.2.17,PDU,LAS16.PPM05,PPM,Circuit Breaker LV - Secondary Injection,400AF / 400AT,,,2.0,2.0,0
5.2.18,PDU,LAS16.PPM05,PPM,Circuit Breaker LV - Secondary Injection,400AF / 400AT,,,2.0,2.0,0
5.2.19,PDU,LAS16.PPM05,PPM,Circuit Breaker LV - Secondary Injection,400AF / 400AT,,,2.0,2.0,0
