"ID","Relay_ID","DeviceFunction","Ordinal","Standard","DFType","Use_SST","SST_Mfr","SST_Type","SST_Style"
9500,1,"51/50",10,0,0,0,,,
9501,1,"51G/50G",20,0,1,0,,,
9502,1,"51N/50N",30,0,1,0,,,
9503,2,"51/50",10,0,0,0,,,
9504,2,"51G/50G",20,0,1,0,,,
9505,2,"51N/50N",30,0,1,0,,,
9508,3,"51/50",10,0,0,0,,,
9509,3,"51/50 Continuou",40,0,0,0,,,
9510,3,"51G/50G",20,0,1,0,,,
9511,3,"51G/50G Continu",50,0,1,0,,,
9512,3,"51N/50N",30,0,1,0,,,
9513,3,"51N/50N Continu",60,0,1,0,,,
9514,4,"51/50",10,0,0,0,,,
9515,4,"51G/50G",20,0,1,0,,,
9516,4,"51N/50N",30,0,1,0,,,
9517,5,"51/50",10,0,0,0,,,
9518,5,"51G/50G",20,0,1,0,,,
9519,5,"51N/50N",30,0,1,0,,,
9520,6,"51/50",10,0,0,0,,,
9521,6,"51/50 Continuou",40,0,0,0,,,
9522,6,"51G/50G",20,0,1,0,,,
9523,6,"51G/50G Continu",50,0,1,0,,,
9524,6,"51N/50N",30,0,1,0,,,
9525,6,"51N/50N Continu",60,0,1,0,,,
9526,7,"51/50",10,0,0,0,,,
9527,7,"51/50 Continuou",40,0,0,0,,,
9528,7,"51G/50G",20,0,1,0,,,
9529,7,"51G/50G Continu",50,0,1,0,,,
9530,7,"51N/50N",30,0,1,0,,,
9531,7,"51N/50N Continu",60,0,1,0,,,
9541,8,"51/50",10,0,0,0,,,
9542,8,"51G/50G",20,0,1,0,,,
9543,8,"51N/50N",30,0,1,0,,,
9544,9,"51/50",10,0,0,0,,,
9545,9,"51G/50G",20,0,1,0,,,
9546,9,"51N/50N",30,0,1,0,,,
9547,10,"51/50",10,0,0,0,,,
9548,10,"51G/50G",20,0,1,0,,,
9549,10,"51N/50N",30,0,1,0,,,
9550,11,"51/50",10,0,0,0,,,
9551,11,"51G/50G",20,0,1,0,,,
9552,11,"51N/50N",30,0,1,0,,,
9553,12,"51/50",10,0,0,0,,,
9554,12,"51G/50G",20,0,1,0,,,
9555,12,"51N/50N",30,0,1,0,,,
9556,13,"51/50",10,0,0,0,,,
9557,13,"51G/50G",20,0,1,0,,,
9558,13,"51N/50N",30,0,1,0,,,
9559,14,"51/50",10,0,0,0,,,
9560,14,"51G/50G",20,0,1,0,,,
9561,14,"51N/50N",30,0,1,0,,,
9562,15,"51/50",10,0,0,0,,,
9563,15,"51G/50G",20,0,1,0,,,
9564,15,"51N/50N",30,0,1,0,,,
9565,16,"51/50",10,0,0,0,,,
9566,16,"51G/50G",20,0,1,0,,,
9567,16,"51N/50N",30,0,1,0,,,
9568,17,"51/50",10,0,0,0,,,
9569,17,"51G/50G",20,0,1,0,,,
9570,17,"51N/50N",30,0,1,0,,,
9571,18,"51/50",10,0,0,0,,,
9572,18,"51G/50G",20,0,1,0,,,
9573,18,"51N/50N",30,0,1,0,,,
9574,19,"51/50",10,0,0,0,,,
9575,19,"51G/50G",20,0,1,0,,,
9576,19,"51N/50N",30,0,1,0,,,
9577,20,"51/50",10,0,0,0,,,
9578,20,"51G/50G",20,0,1,0,,,
9579,20,"51N/50N",30,0,1,0,,,
9580,21,"51/50",10,0,0,0,,,
9581,21,"51G/50G",20,0,1,0,,,
9582,21,"51N/50N",30,0,1,0,,,
9583,22,"51/50",10,0,0,0,,,
9584,22,"51G/50G",20,0,1,0,,,
9585,22,"51N/50N",30,0,1,0,,,
9586,23,"51/50",10,0,0,0,,,
9587,23,"51G/50G",20,0,1,0,,,
9588,23,"51N/50N",30,0,1,0,,,
9589,24,"51/50",10,0,0,0,,,
9590,24,"51G/50G",20,0,1,0,,,
9591,24,"51N/50N",30,0,1,0,,,
9592,25,"51/50",10,0,0,0,,,
9593,25,"51G/50G",20,0,1,0,,,
9594,25,"51N/50N",30,0,1,0,,,
9595,26,"51/50",10,0,0,0,,,
9596,26,"51G/50G",20,0,1,0,,,
9597,26,"51N/50N",30,0,1,0,,,
9598,27,"51/50",10,0,0,0,,,
9599,27,"51G/50G",20,0,1,0,,,
9600,27,"51N/50N",30,0,1,0,,,
9601,28,"51/50",10,0,0,0,,,
9602,28,"51G/50G",20,0,1,0,,,
9603,28,"51N/50N",30,0,1,0,,,
9604,29,"51/50",10,0,0,0,,,
9605,29,"51G/50G",20,0,1,0,,,
9606,29,"51N/50N",30,0,1,0,,,
9607,30,"51/50",10,0,0,0,,,
9608,30,"51G/50G",20,0,1,0,,,
9609,30,"51N/50N",30,0,1,0,,,
9610,31,"51/50",10,0,0,0,,,
9611,31,"51G/50G",20,0,1,0,,,
9612,31,"51N/50N",30,0,1,0,,,
9613,32,"51/50",10,0,0,0,,,
9614,32,"51G/50G",20,0,1,0,,,
9615,32,"51N/50N",30,0,1,0,,,
9616,33,"51/50",10,0,0,0,,,
9617,33,"51G/50G",20,0,1,0,,,
9618,33,"51N/50N",30,0,1,0,,,
9619,34,"51/50",10,0,0,0,,,
9620,34,"51G/50G",20,0,1,0,,,
9621,34,"51N/50N",30,0,1,0,,,
9622,35,"51/50",10,0,0,0,,,
9623,35,"51G/50G",20,0,1,0,,,
9624,35,"51N/50N",30,0,1,0,,,
9625,35,"67",40,0,0,0,,,
9626,35,"67G",50,0,1,0,,,
9627,35,"67N",60,0,1,0,,,
9637,36,"37",30,0,3,0,,,
9638,36,"50 Jam",20,0,0,0,,,
9639,36,"50N Run",50,0,1,0,,,
9640,36,"50N Start",40,0,1,0,,,
9641,36,"51/50",10,0,0,0,,,
8411,37,"50G",40,0,1,0,,,
8412,37,"50N",20,0,1,0,,,
8413,37,"51/50 MJ",10,0,0,0,,,
8414,37,"51/50 SC",30,0,0,0,,,
8415,38,"49/50 MJ",10,0,0,0,,,
8416,38,"49/50 SC",20,0,0,0,,,
8417,38,"50G",30,0,1,0,,,
8418,38,"50G(2000:1)",40,0,1,0,,,
8419,39,"50G(2000:1)",40,0,1,0,,,
8420,39,"50N",30,0,1,0,,,
8421,39,"51/50 MJ",20,0,0,0,,,
8422,39,"51/50 SC",10,0,0,0,,,
8423,40,"49/50 MJ",20,0,0,0,,,
8424,40,"49/50 SC",30,0,0,0,,,
8425,40,"50G",50,0,1,0,,,
8426,40,"50G(2000:1)",40,0,1,0,,,
8427,40,"51/50",10,0,0,0,,,
8428,40,"51G/50G",60,0,1,0,,,
8429,40,"51G/50G(2000:1)",70,0,1,0,,,
8430,41,"50G",30,0,1,0,,,
8431,41,"50G(2000:1)",40,0,1,0,,,
8432,41,"51/50 MJ",20,0,0,0,,,
8433,41,"51/50 SC",10,0,0,0,,,
8434,42,"50G(2000:1)",40,0,1,0,,,
8435,42,"50N",30,0,1,0,,,
8436,42,"51/50 MJ",20,0,0,0,,,
8437,42,"51/50 SC",10,0,0,0,,,
8450,43,"51/50 IAC",20,0,0,0,,,
8451,43,"51/50 IEC",30,1,0,0,,,
8452,43,"51/50 IEEE",10,0,0,0,,,
8453,43,"51N/50N IAC",50,0,1,0,,,
8454,43,"51N/50N IEC",60,1,1,0,,,
8455,43,"51N/50N IEEE",40,0,1,0,,,
8456,43,"51Q/50Q IAC",80,0,3,0,,,
8457,43,"51Q/50Q IEC",90,1,3,0,,,
8458,43,"51Q/50Q IEEE",70,0,3,0,,,
8492,44,"51/50 ANSI",10,0,0,0,,,
8493,44,"51/50 IAC",20,0,0,0,,,
8494,44,"51/50 IEC",30,1,0,0,,,
8495,44,"51G/50G-DT",80,0,1,0,,,
8496,44,"51G/50GS",70,0,1,0,,,
8497,44,"51N/50N ANSI",40,0,1,0,,,
8498,44,"51N/50N IAC",50,0,1,0,,,
8499,44,"51N/50N IEC",60,1,1,0,,,
8500,45,"51/50 ANSI",10,0,0,0,,,
8501,45,"51/50 IAC",30,0,0,0,,,
8502,45,"51/50 IEC",50,1,0,0,,,
8503,45,"51G/50G-DT",80,0,1,0,,,
8504,45,"51G/50GS",70,0,1,0,,,
8505,45,"51N/50N  IAC",40,0,1,0,,,
8506,45,"51N/50N ANSI",20,0,1,0,,,
8507,45,"51N/50N IEC",60,1,1,0,,,
8508,46,"46",40,0,3,0,,,
8509,46,"46 IEC",80,1,3,0,,,
8510,46,"51",20,0,0,0,,,
8511,46,"51 IEC",60,1,0,0,,,
8512,46,"51/50",10,0,0,0,,,
8513,46,"51/50 IEC",50,1,0,0,,,
8514,46,"51/50/50",120,0,0,0,,,
8515,46,"51/50/50 DT",130,0,0,0,,,
8516,46,"51DT/50",90,0,0,0,,,
8517,46,"51G/50G",110,0,1,0,,,
8518,46,"51G/50G/50G",150,0,1,0,,,
8519,46,"51N",30,0,1,0,,,
8520,46,"51N IEC",70,1,1,0,,,
8521,46,"51N/50N",100,0,1,0,,,
8522,46,"51N/50N/50N",140,0,1,0,,,
8523,47,"46",30,0,3,0,,,
8524,47,"46 IEC",70,1,3,0,,,
8525,47,"50SG",80,0,1,0,,,
8526,47,"51 IEC",50,1,0,0,,,
8527,47,"51/50",10,0,0,0,,,
8528,47,"51/50 DT",90,0,0,0,,,
8529,47,"51/50 IEC",40,1,0,0,,,
9992,47,"51/50/50",170,0,0,0,,,
9994,47,"51/50/50 DT",190,2,0,0,,,
9995,47,"51/50/50 IEC",200,1,0,0,,,
9993,47,"51/50/50N",180,2,1,0,,,
9996,47,"51/50/50N IEC",210,1,1,0,,,
8530,47,"51G/50G",100,0,1,0,,,
8531,47,"51G/50G IEC",160,0,1,0,,,
8532,47,"51GS/50GS",130,0,1,0,,,
8533,47,"51GS/50GS IEC",140,1,1,0,,,
8534,47,"51N IEC",60,1,1,0,,,
8535,47,"51N/50N",20,0,1,0,,,
8536,47,"51N/50N IEC",150,1,1,0,,,
8537,47,"67",110,0,3,0,,,
8538,47,"67N",120,0,3,0,,,
8539,48,"46",40,0,3,0,,,
8540,48,"46 IEC",80,1,3,0,,,
8541,48,"50SG",90,0,1,0,,,
8542,48,"51 IEC",60,1,0,0,,,
8543,48,"51/50",10,0,0,0,,,
8544,48,"51/50 DT",100,0,0,0,,,
8545,48,"51/50 IEC",50,1,0,0,,,
9987,48,"51/50/50",150,0,0,0,,,
9989,48,"51/50/50 DT",170,2,0,0,,,
9990,48,"51/50/50 IEC",180,1,0,0,,,
9988,48,"51/50/50N",160,2,1,0,,,
9991,48,"51/50/50N IEC",190,1,1,0,,,
8546,48,"51G",110,0,1,0,,,
8547,48,"51GS/50GS",120,0,1,0,,,
8548,48,"51GS/50GS IEC",130,1,1,0,,,
8549,48,"51N",30,0,1,0,,,
8550,48,"51N IEC",70,1,1,0,,,
8551,48,"51N/50N",20,0,1,0,,,
8552,48,"67",140,0,3,0,,,
6835,49,"51/50",10,0,0,0,,,
