"ParentID","CurveName","Ordinal","vA","vB","vC","vD","vN","vK","vR"
16157,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
16157,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
16157,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
16186,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
16186,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
16186,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
16352,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
16352,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
16352,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
16358,"IEC-A Norm INv",10,0.14,0.00,1.00,,0.02,0.00,
16358,"IEC-B Very Inv",20,13.50,0.00,1.00,,1.00,0.00,
16358,"IEC-C Ext Inv",30,80.00,0.00,1.00,,2.00,0.00,
16358,"IEC-D Def Time",40,0.00,4.00,0.00,,1.00,0.00,
16369,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
16369,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
16369,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
16375,"IEC-A Norm INv",10,0.14,0.00,1.00,,0.02,0.00,
16375,"IEC-B Very Inv",20,13.50,0.00,1.00,,1.00,0.00,
16375,"IEC-C Ext Inv",30,80.00,0.00,1.00,,2.00,0.00,
16375,"IEC-D Def Time",40,0.00,4.00,0.00,,1.00,0.00,
30155,"IEC-A Norm INv",10,0.14,0.00,1.00,,0.02,0.00,
30155,"IEC-B Very Inv",20,13.50,0.00,1.00,,1.00,0.00,
30155,"IEC-C Ext Inv",30,80.00,0.00,1.00,,2.00,0.00,
30155,"IEC-D Def Time",40,0.00,4.00,0.00,,1.00,0.00,
30157,"IEC-A Norm INv",10,0.14,0.00,1.00,,0.02,0.00,
30157,"IEC-B Very Inv",20,13.50,0.00,1.00,,1.00,0.00,
30157,"IEC-C Ext Inv",30,80.00,0.00,1.00,,2.00,0.00,
30157,"IEC-D Def Time",40,0.00,4.00,0.00,,1.00,0.00,
35942,"LT I",10,120.00,0.00,1.00,,1.00,0.00,
35958,"EI",10,80.00,0.00,1.00,,2.00,0.00,
35958,"Inv",30,0.14,0.00,1.00,,0.02,0.00,
35958,"LT I",40,120.00,0.00,1.00,,1.00,0.00,
35958,"VI",20,13.50,0.00,1.00,,1.00,0.00,
35974,"EI",10,80.00,0.00,1.00,,2.00,0.00,
35974,"Inv",30,0.14,0.00,1.00,,0.02,0.00,
35974,"LT I",40,120.00,0.00,1.00,,1.00,0.00,
35974,"VI",20,13.50,0.00,1.00,,1.00,0.00,
36056,"EI",10,80.00,0.00,1.00,,2.00,0.00,
36056,"Inv",30,0.14,0.00,1.00,,0.02,0.00,
36056,"LT I",40,120.00,0.00,1.00,,1.00,0.00,
36056,"VI",20,13.50,0.00,1.00,,1.00,0.00,
36072,"EI",10,80.00,0.00,1.00,,2.00,0.00,
36072,"Inv",30,0.14,0.00,1.00,,0.02,0.00,
36072,"LT I",40,120.00,0.00,1.00,,1.00,0.00,
36072,"VI",20,13.50,0.00,1.00,,1.00,0.00,
38983,"IEEE Extremely Inverse",30,28.20,0.12,1.00,,2.00,0.02,
38983,"IEEE Moderately Inverse",10,0.05,0.11,1.00,,0.02,0.02,
38983,"IEEE Very Inverse",20,19.61,0.49,1.00,,2.00,0.02,
39002,"ANSI Long Time Inverse",100,5.61,2.18,1.00,,1.00,0.02,
39002,"ANSI Normally Inverse",80,8.93,0.17,1.00,,2.09,0.02,
39002,"ANSI Short Time Inverse",90,0.26,0.03,1.00,,1.29,0.02,
