"ParentID","CurveName","Ordinal","vA","vB","vC","vD","vE"
34494,"EI",40,0.03,0.22,0.50,3.00,0.72
34494,"MI",10,0.17,0.67,0.80,-0.08,0.12
34494,"NI",20,0.02,2.26,0.30,-0.18,9.12
34494,"VI",30,0.06,0.79,0.34,-0.28,4.05
34536,"EI",40,0.03,0.22,0.50,3.00,0.72
34536,"MI",10,0.17,0.67,0.80,-0.08,0.12
34536,"NI",20,0.02,2.26,0.30,-0.18,9.12
34536,"VI",30,0.06,0.79,0.34,-0.28,4.05
34578,"EI",40,0.03,0.22,0.50,3.00,0.72
34578,"MI",10,0.17,0.67,0.80,-0.08,0.12
34578,"NI",20,0.02,2.26,0.30,-0.18,9.12
34578,"VI",30,0.06,0.79,0.34,-0.28,4.05
34620,"EI",40,0.03,0.22,0.50,3.00,0.72
34620,"MI",10,0.17,0.67,0.80,-0.08,0.12
34620,"NI",20,0.02,2.26,0.30,-0.18,9.12
34620,"VI",30,0.06,0.79,0.34,-0.28,4.05
34662,"EI",40,0.03,0.22,0.50,3.00,0.72
34662,"MI",10,0.17,0.67,0.80,-0.08,0.12
34662,"NI",20,0.02,2.26,0.30,-0.18,9.12
34662,"VI",30,0.06,0.79,0.34,-0.28,4.05
34704,"EI",40,0.03,0.22,0.50,3.00,0.72
34704,"MI",10,0.17,0.67,0.80,-0.08,0.12
34704,"NI",20,0.02,2.26,0.30,-0.18,9.12
34704,"VI",30,0.06,0.79,0.34,-0.28,4.05
34746,"EI",40,0.03,0.22,0.50,3.00,0.72
34746,"MI",10,0.17,0.67,0.80,-0.08,0.12
34746,"NI",20,0.02,2.26,0.30,-0.18,9.12
34746,"VI",30,0.06,0.79,0.34,-0.28,4.05
34788,"EI",40,0.03,0.22,0.50,3.00,0.72
34788,"MI",10,0.17,0.67,0.80,-0.08,0.12
34788,"NI",20,0.02,2.26,0.30,-0.18,9.12
34788,"VI",30,0.06,0.79,0.34,-0.28,4.05
46977,"IAC Ext Inv",10,4.0e-03,0.63,0.62,1.78,0.24
46977,"IAC Inv",30,0.20,0.86,0.80,-0.41,0.19
46977,"IAC Short Inv",40,0.04,0.06,0.62,-1.0e-03,0.02
46977,"IAC Very Inv",20,0.09,0.79,0.10,-1.28,7.95
47047,"IAC Ext Inv",10,4.0e-03,0.63,0.62,1.78,0.24
47047,"IAC Inv",30,0.20,0.86,0.80,-0.41,0.19
47047,"IAC Short Inv",40,0.04,0.06,0.62,-1.0e-03,0.02
47047,"IAC Very Inv",20,0.09,0.79,0.10,-1.28,7.95
47117,"IAC Ext Inv",10,4.0e-03,0.63,0.62,1.78,0.24
47117,"IAC Inv",30,0.20,0.86,0.80,-0.41,0.19
47117,"IAC Very Inv",20,0.09,0.79,0.10,-1.28,7.95
47117,"Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
47187,"IAC Ext Inv",10,4.0e-03,0.63,0.62,1.78,0.24
47187,"IAC Inv",30,0.20,0.86,0.80,-0.41,0.19
