"ParentID","CurveName","Ordinal","vA","vB","vE"
34487,"EI",60,0.12,28.20,2.00
34487,"LTEI",30,0.25,64.07,2.00
34487,"LTI",10,0.18,0.08,0.02
34487,"LTVI",20,0.71,28.55,2.00
34487,"MI",40,0.11,0.05,0.02
34487,"STEI",80,5.0e-03,1.28,2.00
34487,"STI",70,0.11,0.16,0.02
34487,"VI",50,0.49,19.61,2.00
34529,"EI",60,0.12,28.20,2.00
34529,"LTEI",30,0.25,64.07,2.00
34529,"LTI",10,0.18,0.08,0.02
34529,"LTVI",20,0.71,28.55,2.00
34529,"MI",40,0.11,0.05,0.02
34529,"STEI",80,5.0e-03,1.28,2.00
34529,"STI",70,0.11,0.16,0.02
34529,"VI",50,0.49,19.61,2.00
34571,"EI",60,0.12,28.20,2.00
34571,"LTEI",30,0.25,64.07,2.00
34571,"LTI",10,0.18,0.08,0.02
34571,"LTVI",20,0.71,28.55,2.00
34571,"MI",40,0.11,0.05,0.02
34571,"STEI",80,5.0e-03,1.28,2.00
34571,"STI",70,0.11,0.16,0.02
34571,"VI",50,0.49,19.61,2.00
34613,"EI",60,0.12,28.20,2.00
34613,"LTEI",30,0.25,64.07,2.00
34613,"LTI",10,0.18,0.08,0.02
34613,"LTVI",20,0.71,28.55,2.00
34613,"MI",40,0.11,0.05,0.02
34613,"STEI",80,5.0e-03,1.28,2.00
34613,"STI",70,0.11,0.16,0.02
34613,"VI",50,0.49,19.61,2.00
34655,"EI",60,0.12,28.20,2.00
34655,"LTEI",30,0.25,64.07,2.00
34655,"LTI",10,0.18,0.08,0.02
34655,"LTVI",20,0.71,28.55,2.00
34655,"MI",40,0.11,0.05,0.02
34655,"STEI",80,5.0e-03,1.28,2.00
34655,"STI",70,0.11,0.16,0.02
34655,"VI",50,0.49,19.61,2.00
34697,"EI",60,0.12,28.20,2.00
34697,"LTEI",30,0.25,64.07,2.00
34697,"LTI",10,0.18,0.08,0.02
34697,"LTVI",20,0.71,28.55,2.00
34697,"MI",40,0.11,0.05,0.02
34697,"STEI",80,5.0e-03,1.28,2.00
34697,"STI",70,0.11,0.16,0.02
34697,"VI",50,0.49,19.61,2.00
34739,"EI",60,0.12,28.20,2.00
34739,"LTEI",30,0.25,64.07,2.00
34739,"LTI",10,0.18,0.08,0.02
34739,"LTVI",20,0.71,28.55,2.00
34739,"MI",40,0.11,0.05,0.02
34739,"STEI",80,5.0e-03,1.28,2.00
34739,"STI",70,0.11,0.16,0.02
34739,"VI",50,0.49,19.61,2.00
34781,"EI",60,0.12,28.20,2.00
34781,"LTEI",30,0.25,64.07,2.00
34781,"LTI",10,0.18,0.08,0.02
34781,"LTVI",20,0.71,28.55,2.00
34781,"MI",40,0.11,0.05,0.02
34781,"STEI",80,5.0e-03,1.28,2.00
34781,"STI",70,0.11,0.16,0.02
34781,"VI",50,0.49,19.61,2.00
36340,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36340,"(2) ANSI Very Inv",20,0.49,19.61,2.00
36340,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
36340,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
36340,"(6) LT Ext Inv",50,0.25,64.07,2.00
36340,"(7) LT Very Inv",60,0.71,28.55,2.00
36340,"(8) LT Inv",70,0.18,0.08,0.02
36350,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36350,"(2) ANSI Very Inv",20,0.49,19.61,2.00
36350,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
36350,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
36350,"(6) LT Ext Inv",50,0.25,64.07,2.00
36350,"(7) LT Very Inv",60,0.71,28.55,2.00
36350,"(8) LT Inv",70,0.18,0.08,0.02
36360,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36360,"(2) ANSI Very Inv",20,0.49,19.61,2.00
36360,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
36360,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
36360,"(6) LT Ext Inv",50,0.25,64.07,2.00
36360,"(7) LT Very Inv",60,0.71,28.55,2.00
36360,"(8) LT Inv",70,0.18,0.08,0.02
36370,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36370,"(2) ANSI Very Inv",20,0.49,19.61,2.00
36370,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
36370,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
36370,"(6) LT Ext Inv",50,0.25,64.07,2.00
36370,"(7) LT Very Inv",60,0.71,28.55,2.00
36370,"(8) LT Inv",70,0.18,0.08,0.02
36380,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36380,"(2) ANSI Very Inv",20,0.49,19.61,2.00
36380,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
36380,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
36380,"(6) LT Ext Inv",50,0.25,64.07,2.00
36380,"(7) LT Very Inv",60,0.71,28.55,2.00
36380,"(8) LT Inv",70,0.18,0.08,0.02
36537,"Extremly Inverse",10,0.02,6.40,2.00
36537,"Moderately Inverse",30,0.01,8.6e-03,0.02
36537,"Very Inverse",20,0.07,2.85,2.00
36671,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36671,"(10) IEC Very Inv",40,0.00,13.50,1.00
36671,"(12) IEC Ext Inv",50,0.00,80.00,2.00
36671,"(3) ANSI Normal Inv",20,0.01,8.6e-03,0.02
36671,"(9) IEC Normal Inv",30,0.00,0.14,0.02
36677,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36677,"(10) IEC Very Inv",90,0.00,13.50,1.00
36677,"(11) IEC Inv",100,0.00,0.14,0.02
36677,"(12) IEC Ext Inv",110,0.00,80.00,2.00
36677,"(13) IEC ST Inv",120,0.00,0.05,0.04
36677,"(14) IEC LT Inv",130,0.00,120.00,1.00
36677,"(2) ANSI Very Inv",20,0.49,19.61,2.00
36677,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
36677,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
36677,"(6) LT Ext Inv",50,0.25,64.07,2.00
36677,"(7) LT Very Inv",60,0.71,28.55,2.00
36677,"(8) LT Inv",70,0.18,0.08,0.02
36677,"(9) IEC Normal Inv",80,0.00,0.14,0.02
36683,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36683,"(10) IEC Very Inv",90,0.00,13.50,1.00
36683,"(11) IEC Inv",100,0.00,0.14,0.02
36683,"(12) IEC Ext Inv",110,0.00,80.00,2.00
36683,"(13) IEC ST Inv",120,0.00,0.05,0.04
36683,"(14) IEC LT Inv",130,0.00,120.00,1.00
36683,"(2) ANSI Very Inv",20,0.49,19.61,2.00
36683,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
36683,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
36683,"(6) LT Ext Inv",50,0.25,64.07,2.00
36683,"(7) LT Very Inv",60,0.71,28.55,2.00
36683,"(8) LT Inv",70,0.18,0.08,0.02
36683,"(9) IEC Normal Inv",80,0.00,0.14,0.02
36699,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36699,"(10) IEC Very Inv",40,0.00,13.50,1.00
36699,"(12) IEC Ext Inv",50,0.00,80.00,2.00
36699,"(3) ANSI Normal Inv",20,0.01,8.6e-03,0.02
36699,"(9) IEC Normal Inv",30,0.00,0.14,0.02
36704,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36704,"(10) IEC Very Inv",90,0.00,13.50,1.00
36704,"(11) IEC Inv",100,0.00,0.14,0.02
36704,"(12) IEC Ext Inv",110,0.00,80.00,2.00
36704,"(13) IEC ST Inv",120,0.00,0.05,0.04
36704,"(14) IEC LT Inv",130,0.00,120.00,1.00
36704,"(2) ANSI Very Inv",20,0.49,19.61,2.00
36704,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
36704,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
36704,"(6) LT Ext Inv",50,0.25,64.07,2.00
36704,"(7) LT Very Inv",60,0.71,28.55,2.00
36704,"(8) LT Inv",70,0.18,0.08,0.02
36704,"(9) IEC Normal Inv",80,0.00,0.14,0.02
36715,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36715,"(10) IEC Very Inv",90,0.00,13.50,1.00
36715,"(11) IEC Inv",100,0.00,0.14,0.02
36715,"(12) IEC Ext Inv",110,0.00,80.00,2.00
36715,"(13) IEC ST Inv",120,0.00,0.05,0.04
36715,"(14) IEC LT Inv",130,0.00,120.00,1.00
36715,"(2) ANSI Very Inv",20,0.49,19.61,2.00
36715,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
36715,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
36715,"(6) LT Ext Inv",50,0.25,64.07,2.00
36715,"(7) LT Very Inv",60,0.71,28.55,2.00
36715,"(8) LT Inv",70,0.18,0.08,0.02
36715,"(9) IEC Normal Inv",80,0.00,0.14,0.02
36723,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36723,"(10) IEC Very Inv",40,0.00,13.50,1.00
36723,"(12) IEC Ext Inv",50,0.00,80.00,2.00
36723,"(13) IEC ST Inv",60,0.00,0.05,0.04
36723,"(14) IEC LT Inv",70,0.00,120.00,1.00
36723,"(3) ANSI Normal Inv",20,0.01,8.6e-03,0.02
36723,"(9) IEC Normal Inv",30,0.00,0.14,0.02
36728,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36728,"(10) IEC Very Inv",90,0.00,13.50,1.00
36728,"(11) IEC Inv",100,0.00,0.14,0.02
36728,"(12) IEC Ext Inv",110,0.00,80.00,2.00
