"ID","Section_ID","CurveName","TCCNumber","Ordinal","Discrete","StepSize","HorzAmps"
2398,1061,"15A","",4,1,0.10,0
2399,1061,"15B","",3,1,0.10,0
2400,1061,"15C","",2,1,0.10,0
2401,1061,"15D","",1,1,0.10,0
2402,1061,"16","",5,1,0.10,0
2403,1061,"17","",6,1,0.10,0
2404,1061,"18","",7,1,0.10,0
2405,1061,"19","",8,1,0.10,0
2406,1062,"Inverse Series 1-2","",1,1,0.10,0
2407,1062,"Inverse Series 1-3","",2,1,0.10,0
2408,1062,"Inverse Series 2","",3,1,0.10,0
2409,1062,"Inverse Series 3","",4,1,0.10,0
2410,1063,"Inverse Series 1-2","",1,1,0.10,0
2411,1063,"Inverse Series 1-3","",2,1,0.10,0
2412,1063,"Inverse Series 2","",3,1,0.10,0
2413,1063,"Inverse Series 3","",4,1,0.10,0
2414,1064,"Inverse Series 1-2","",1,1,0.10,0
2415,1064,"Inverse Series 1-3","",2,1,0.10,0
2416,1064,"Inverse Series 2","",3,1,0.10,0
2417,1064,"Inverse Series 3","",4,1,0.10,0
2418,1065,"Inverse Series 1-2","",1,1,0.10,0
2419,1065,"Inverse Series 1-3","",2,1,0.10,0
2420,1065,"Inverse Series 2","",3,1,0.10,0
2421,1065,"Inverse Series 3","",4,1,0.10,0
2422,1066,"Inverse Series 1-2","",1,1,0.10,0
2423,1066,"Inverse Series 1-3","",2,1,0.10,0
2424,1066,"Inverse Series 2","",3,1,0.10,0
2425,1066,"Inverse Series 3","",4,1,0.10,0
2426,1067,"Inverse Parallel 1-2","",1,1,0.10,0
2427,1067,"Inverse Parallel 1-3","",2,1,0.10,0
2428,1067,"Inverse Parallel 2","",3,1,0.10,0
2429,1067,"Inverse Parallel 3","",4,1,0.10,0
2430,1068,"Inverse Parallel 1-2","",1,1,0.10,0
2431,1068,"Inverse Parallel 1-3","",2,1,0.10,0
2432,1068,"Inverse Parallel 2","",3,1,0.10,0
2433,1068,"Inverse Parallel 3","",4,1,0.10,0
2434,1069,"Inverse Parallel 1-2","",1,1,0.10,0
2435,1069,"Inverse Parallel 1-3","",2,1,0.10,0
2436,1069,"Inverse Parallel 2","",3,1,0.10,0
2437,1069,"Inverse Parallel 3","",4,1,0.10,0
2438,1070,"Inverse Series 1-2","",1,1,0.10,0
2439,1070,"Inverse Series 1-3","",2,1,0.10,0
