"ID","Device_ID","Name","Model","Type","AllowTripLtStDelay"
1061,1069,"Curves",1,0,0
1062,1070,"Curves",1,0,0
1063,1071,"Curves",1,0,0
1064,1072,"Curve",1,0,0
1065,1073,"Curves",1,0,0
1066,1074,"Curves",1,0,0
1067,1075,"Curves",1,0,0
1068,1076,"Curves",1,0,0
1069,1077,"Curves",1,0,0
1070,1078,"Curves",1,0,0
1071,1079,"Curves",1,0,0
1072,1080,"Curves",1,0,0
1073,1081,"Curves",1,0,0
1074,1082,"Curves",1,0,0
1075,1083,"Curves",1,0,0
1076,1084,"Curves",1,0,0
1077,1085,"Curves",1,0,0
1078,1086,"Curve",1,0,0
1079,1087,"Curves",1,0,0
1080,1088,"Curves",1,0,0
1081,1089,"Curves",1,0,0
1082,1090,"Curves",1,0,0
1083,1091,"Curves",1,0,0
1084,1092,"Curves",1,0,0
1085,1093,"Curves",1,0,0
1086,1094,"Curves",1,0,0
1087,1095,"Curves",1,0,0
1088,1096,"Curves",1,0,0
1089,1097,"Curves",1,0,0
1090,1098,"Curves",1,0,0
1091,1099,"Curves",1,0,0
1092,1100,"Curve",1,0,0
1093,1101,"Curves",1,0,0
1094,1102,"Curves",1,0,0
1095,1103,"Curves",1,0,0
1096,1104,"Curves",1,0,0
1097,1105,"Curves",1,0,0
1098,1106,"Curves",1,0,0
1099,1107,"Curves",1,0,0
1100,1108,"Curves",1,0,0
1101,1109,"Curves",1,0,0
1102,1110,"Curves",1,0,0
1105,1113,"Curves",1,0,0
1106,1114,"Curves",1,0,0
1107,1115,"Curves",1,0,0
1108,1116,"Curve",1,0,0
1109,1117,"Curves",1,0,0
1110,1118,"Curves",1,0,0
1111,1119,"Curves",1,0,0
1112,1120,"Curves",1,0,0
1113,1121,"Curves",1,0,0
1114,1122,"Curves",1,0,0
1115,1123,"Curves",1,0,0
1116,1124,"Curves",1,0,0
1117,1125,"Curves",1,0,0
1118,1126,"Curves",1,0,0
1119,1127,"Curves",1,0,0
1120,1128,"Curves",1,0,0
1121,1129,"Curves",1,0,0
1122,1130,"Curve",1,0,0
1123,1131,"Curves",1,0,0
1124,1132,"Curves",1,0,0
1125,1133,"Curves",1,0,0
1126,1134,"Curves",1,0,0
1127,1135,"Curves",1,0,0
1128,1136,"Curves",1,0,0
1129,1137,"Curves",1,0,0
1130,1138,"Curves",1,0,0
1131,1139,"Curves",1,0,0
1132,1140,"Curves",1,0,0
1133,1141,"Curves",1,0,0
1134,1142,"Curves",1,0,0
1135,1143,"Curves",1,0,0
1136,1144,"Curve",1,0,0
1137,1145,"Curves",1,0,0
1138,1146,"Curves",1,0,0
1139,1147,"Curves",1,0,0
1140,1148,"Curves",1,0,0
1141,1149,"Curves",1,0,0
1142,1150,"Curves",1,0,0
1143,1151,"Curves",1,0,0
1144,1152,"Curves",1,0,0
1145,1153,"Curves",1,0,0
1146,1154,"Curves",1,0,0
1147,1155,"Curves",1,0,0
1148,1156,"Curves",1,0,0
1149,1157,"Curves",1,0,0
1150,1158,"Curve",1,0,0
1151,1159,"Curves",1,0,0
1152,1160,"Curves",1,0,0
