"ordinal","ref","unit_of_issue","ats_section","ats_hours","mts_section","mts_hours","lifecycle_status","coverage_class","engine_family","classification_basis","discovery_tag"
"001","Arrester - SS, High Voltage (Set)","set","7.19","4","7.19","4","active","discovery_only_unmapped","","SURGE_SPD_DISCOVERY","surge_spd"
"002","Arrester - SS, Medium Volatge (Set)","set","7.19","3.5","7.19","3.5","active","discovery_only_unmapped","","SURGE_SPD_DISCOVERY","surge_spd"
"003","Arrestor - Medium Voltage (Set)","set","7.19","1.5","7.19","1.5","active","discovery_only_unmapped","","SURGE_SPD_DISCOVERY","surge_spd"
"004","Arrestor (SPD) - Low Voltage","each","7.19","0.5","7.19","1","active","discovery_only_unmapped","","SURGE_SPD_DISCOVERY","surge_spd"
"005","Automatic Transfer Switch - (IR/DLRO)","each","7.22","3","7.22","4","active","recognized_scope_pending_candidate","transfer_switch","TRANSFER_REFS",""
"006","Automatic Transfer Switch - Iso Bypass (IR/DLRO)","each","7.22","4","7.22","6","active","recognized_scope_pending_candidate","transfer_switch","TRANSFER_REFS",""
"007","Automatic Transfer Switch (Functional Testing)","each","7.18","","7.18","4","active","catalog_only_unmapped","","CATALOG_ONLY",""
"008","Bus Duct - Low Voltage (IR/DLRO)","each","7.4","3","7.4","4","active","catalog_only_unmapped","","CATALOG_ONLY",""
"009","Bus Duct - Medium Voltage (IR/CR)","each","7.21","6","7.21","8","active","catalog_only_unmapped","","CATALOG_ONLY",""
"010","Bus Structure - Outdoor (IR/DLRO)","each","7.2","16","7.2","16","active","catalog_only_unmapped","","CATALOG_ONLY",""
"011","Capacitor - Power Factor Correction (per Unit)","each","7.2","1","7.2","1.5","active","catalog_only_unmapped","","CATALOG_ONLY",""
"012","Capcitors - Per Unit","each","7.1","1","7.1","1.5","active","catalog_only_unmapped","","CATALOG_ONLY",""
"013","CCVT Voltage Transformer - Individual","each","7.1","5","7.1","5","active","recognized_scope_pending_candidate","instrument_transformer","ITX_REFS",""
"014","CCVT Voltage Transformer - Set of 3","each","7.6","12","7.6","12","active","recognized_scope_pending_candidate","instrument_transformer","ITX_REFS",""
"015","Circuit Breaker LV - Draw-Out (LS/LSI)","each","7.6","3","7.6","3.5","active","priced_breaker_rule","breaker","BREAKER_MAP",""
"016","Circuit Breaker LV - Draw-Out (LSIG)","each","7.6","4","7.6","4.5","active","priced_breaker_rule","breaker","BREAKER_MAP",""
"017","Circuit Breaker LV - Electrically Operated (LS/LSI)","each","7.6","4","7.6","4.5","active","priced_breaker_rule","breaker","BREAKER_MAP",""
"018","Circuit Breaker LV - Electrically Operated (LSIG)","each","7.6","5","7.6","5.5","active","priced_breaker_rule","breaker","BREAKER_MAP",""
"019","Circuit Breaker LV - Generator Main","each","7.6","6","7.6","8","active","catalog_only_unmapped","","CATALOG_ONLY",""
"020","Circuit Breaker LV - Insulated Case (LS/LSI)","each","7.6","2","7.6","3","active","priced_breaker_rule","breaker","BREAKER_MAP",""
"021","Circuit Breaker LV - Insulated Case (LSIG)","each","7.6","3","7.6","4","active","priced_breaker_rule","breaker","BREAKER_MAP",""
"022","Circuit Breaker LV - Molded Case Thermal/Mag","each","7.6","2","7.6","2","active","priced_breaker_rule","breaker","BREAKER_MAP",""
"023","Circuit Breaker LV - Panelboard MCB","each","7.6","2.5","7.6","2.5","active","priced_breaker_rule","breaker","BREAKER_MAP",""
"024","Circuit Breaker LV - Primary Injection (Large)","each","7.6","4","7.6","4.5","active","catalog_only_unmapped","","CATALOG_ONLY",""
"025","Circuit Breaker LV - Primary Injection (Medium)","each","7.6","3","7.6","3.5","active","catalog_only_unmapped","","CATALOG_ONLY",""
"026","Circuit Breaker LV - Primary Injection (Small)","each","7.6","2","7.6","2.5","active","catalog_only_unmapped","","CATALOG_ONLY",""
"027","Circuit Breaker LV - Secondary Injection","each","7.6","1.5","7.6","2","active","catalog_only_unmapped","","CATALOG_ONLY",""
"028","Circuit Breaker MV - Air Frame","each","7.6","6","7.6","8","active","priced_breaker_rule","breaker","BREAKER_MAP",""
"029","Circuit Breaker MV - Oil Insluated","each","7.3","6","7.3","8","active","priced_breaker_rule","breaker","BREAKER_MAP",""
"030","Circuit Breaker MV - SF6 (230kV & Under)","each","7.6","20","7.6","24","active","priced_breaker_rule","breaker","BREAKER_MAP",""
"031","Circuit Breaker MV - SF6 (Gassing Only)","each","7.6","6","7.6","6","active","catalog_only_unmapped","","CATALOG_ONLY",""
"032","Circuit Breaker MV - SF6 (Over 230kV)","each","7.6","32","7.6","32","active","catalog_only_unmapped","","CATALOG_ONLY",""
"033","Circuit Breaker MV - Vacuum Bkr","each","7.7","5","7.7","6","active","priced_breaker_rule","breaker","BREAKER_MAP",""
"034","Circuit Switcher MV/HV","each","7.3","16","7.3","16","active","catalog_only_unmapped","","CATALOG_ONLY",""
"035","Conductors LV - 3 Phase Feeder","each","7.3","0.5","7.3","0.5","active","catalog_only_unmapped","","CATALOG_ONLY",""
"036","Conductors MV - Set of 3 (DC Hipotential)","each","7.3","6","7.3","6","active","catalog_only_unmapped","","CATALOG_ONLY",""
"037","Conductors MV - Set of 3 (Offline PD)","each","7.3","4","7.3","5","active","catalog_only_unmapped","","CATALOG_ONLY",""
"038","Conductors MV - Set of 3 (Tan Delta)","each","7.3","4","7.3","5","active","catalog_only_unmapped","","CATALOG_ONLY",""
"039","Conductors MV - Set of 3 (VLF Hipotential)","each","7.3","4","7.3","5","active","catalog_only_unmapped","","CATALOG_ONLY",""
"040","Conductors MV - Set of 3 (VLF/Tan Delta)","each","7.3","4.5","7.3","5","active","catalog_only_unmapped","","CATALOG_ONLY",""
"041","Conductors MV - Set of 3 (VLF/Tan Delta/PD)","each","7.3","6","7.3","8","active","catalog_only_unmapped","","CATALOG_ONLY",""
"042","Control Power Transformer - LV Swbd","each","7.1","1.5","7.1","2","active","catalog_only_unmapped","","CATALOG_ONLY",""
"043","Control Power Transformer - MV Swgr","each","7.1","2","7.1","2.5","active","catalog_only_unmapped","","CATALOG_ONLY",""
"044","Current Transformer - Bushing HV/MV","each","7.14","2","7.14","2","active","recognized_scope_pending_candidate","instrument_transformer","ITX_REFS",""
