"ID","ParentID","AuxKey","Ordinal","Min","Max","Step","RelUnit","UseRange","RangeKey","ScaleWithTimeMultiplier"
5400,3446,0,10,63.50,63.50,-1.00,0,0,102,0
5401,3447,0,10,87.00,87.00,-1.00,0,0,102,0
5404,3450,0,10,156.00,300.00,-1.00,0,0,102,0
5405,3451,0,10,4.90,4.90,-1.00,0,0,102,0
5406,3452,0,10,110.00,600.00,-1.00,0,0,102,0
5408,3454,0,10,50.00,200.00,-1.00,0,0,102,0
5410,3456,0,10,50.00,600.00,-1.00,0,0,102,0
5411,3457,0,10,50.00,600.00,-1.00,0,0,102,0
5412,3458,0,10,25.00,400.00,-1.00,0,0,102,0
5413,3459,0,10,25.00,25.00,-1.00,0,0,102,0
5414,3460,0,10,63.50,63.50,-1.00,0,0,102,0
5415,3461,0,10,87.00,87.00,-1.00,0,0,102,0
5416,3462,0,10,2.40,2.40,-1.00,0,0,102,0
5417,3463,0,10,110.00,133.00,-1.00,0,0,102,0
5418,3464,0,10,156.00,300.00,-1.00,0,0,102,0
5419,3465,0,10,4.90,4.90,-1.00,0,0,102,0
5420,3466,0,10,110.00,600.00,-1.00,0,0,102,0
5421,3467,0,10,100.00,400.00,-1.00,0,0,102,0
5422,3468,0,10,50.00,200.00,-1.00,0,0,102,0
5423,3469,0,10,50.00,600.00,-1.00,0,0,102,0
5424,3470,0,10,50.00,600.00,-1.00,0,0,102,0
5425,3471,0,10,50.00,600.00,-1.00,0,0,102,0
5426,3472,0,10,25.00,400.00,-1.00,0,0,102,0
5427,3473,0,10,25.00,25.00,-1.00,0,0,102,0
5428,3474,0,10,63.50,63.50,-1.00,0,0,102,0
5429,3475,0,10,87.00,87.00,-1.00,0,0,102,0
5430,3476,0,10,2.40,2.40,-1.00,0,0,102,0
5431,3477,0,10,110.00,133.00,-1.00,0,0,102,0
5432,3478,0,10,156.00,300.00,-1.00,0,0,102,0
5433,3479,0,10,4.90,4.90,-1.00,0,0,102,0
5434,3480,0,10,110.00,600.00,-1.00,0,0,102,0
5435,3481,0,10,100.00,400.00,-1.00,0,0,102,0
5436,3482,0,10,50.00,200.00,-1.00,0,0,102,0
5438,3484,0,10,50.00,600.00,-1.00,0,0,102,0
5443,3489,0,10,25.00,25.00,-1.00,0,0,102,0
5444,3490,0,10,63.50,63.50,-1.00,0,0,102,0
5445,3491,0,10,87.00,87.00,-1.00,0,0,102,0
5446,3492,0,10,2.40,2.40,-1.00,0,0,102,0
5447,3493,0,10,110.00,133.00,-1.00,0,0,102,0
5448,3494,0,10,156.00,300.00,-1.00,0,0,102,0
5449,3495,0,10,4.90,4.90,-1.00,0,0,102,0
5450,3496,0,10,110.00,600.00,-1.00,0,0,102,0
5451,3497,0,10,100.00,400.00,-1.00,0,0,102,0
5452,3498,0,10,50.00,200.00,-1.00,0,0,102,0
5453,3499,0,10,50.00,600.00,-1.00,0,0,102,0
5454,3500,0,10,50.00,600.00,-1.00,0,0,102,0
5455,3501,0,10,50.00,600.00,-1.00,0,0,102,0
5456,3502,0,10,25.00,560.00,-1.00,0,0,102,0
5457,3503,0,10,25.00,25.00,-1.00,0,0,102,0
5458,3504,0,10,63.50,63.50,-1.00,0,0,102,0
5459,3505,0,10,87.00,87.00,-1.00,0,0,102,0
5460,3506,0,10,2.40,2.40,-1.00,0,0,102,0
5461,3507,0,10,110.00,133.00,-1.00,0,0,102,0
5462,3508,0,10,156.00,300.00,-1.00,0,0,102,0
5463,3509,0,10,4.90,4.90,-1.00,0,0,102,0
5464,3510,0,10,110.00,600.00,-1.00,0,0,102,0
5465,3511,0,10,100.00,400.00,-1.00,0,0,102,0
5466,3512,0,10,50.00,200.00,-1.00,0,0,102,0
5467,3513,0,10,50.00,600.00,-1.00,0,0,102,0
5468,3514,0,10,50.00,600.00,-1.00,0,0,102,0
5469,3515,0,10,50.00,600.00,-1.00,0,0,102,0
5470,3516,0,10,25.00,560.00,-1.00,0,0,102,0
5471,3517,0,10,25.00,25.00,-1.00,0,0,102,0
5472,3518,0,10,63.50,63.50,-1.00,0,0,102,0
5473,3519,0,10,87.00,87.00,-1.00,0,0,102,0
5474,3520,0,10,2.40,2.40,-1.00,0,0,102,0
5475,3521,0,10,110.00,133.00,-1.00,0,0,102,0
5476,3522,0,10,156.00,300.00,-1.00,0,0,102,0
5477,3523,0,10,4.90,4.90,-1.00,0,0,102,0
5478,3524,0,10,110.00,600.00,-1.00,0,0,102,0
5479,3525,0,10,100.00,400.00,-1.00,0,0,102,0
5480,3526,0,10,50.00,200.00,-1.00,0,0,102,0
5481,3527,0,10,50.00,600.00,-1.00,0,0,102,0
5482,3528,0,10,50.00,600.00,-1.00,0,0,102,0
5483,3529,0,10,50.00,600.00,-1.00,0,0,102,0
5485,3531,0,10,25.00,25.00,-1.00,0,0,102,0
5486,3532,0,10,63.50,63.50,-1.00,0,0,102,0
5487,3533,0,10,87.00,87.00,-1.00,0,0,102,0
5488,3534,0,10,2.40,2.40,-1.00,0,0,102,0
5489,3535,0,10,110.00,133.00,-1.00,0,0,102,0
5490,3536,0,10,156.00,300.00,-1.00,0,0,102,0
5491,3537,0,10,4.90,4.90,-1.00,0,0,102,0
5492,3538,0,10,110.00,600.00,-1.00,0,0,102,0
5493,3539,0,10,100.00,400.00,-1.00,0,0,102,0
5494,3540,0,10,50.00,200.00,-1.00,0,0,102,0
5495,3541,0,10,50.00,600.00,-1.00,0,0,102,0
5496,3542,0,10,50.00,600.00,-1.00,0,0,102,0
5497,3543,0,10,50.00,600.00,-1.00,0,0,102,0
5498,3544,0,10,100.00,560.00,-1.00,0,0,102,0
5502,3548,0,10,25.00,560.00,-1.00,0,0,102,0
5503,3549,0,10,100.00,1120.00,-1.00,0,0,102,0
5504,3550,0,10,25.00,560.00,-1.00,0,0,102,0
5505,3551,0,10,100.00,1120.00,-1.00,0,0,102,0
5506,3552,0,10,25.00,560.00,-1.00,0,0,102,0
5507,3553,0,10,100.00,1120.00,-1.00,0,0,102,0
5508,3554,0,10,25.00,560.00,-1.00,0,0,102,0
5509,3555,0,10,100.00,1120.00,-1.00,0,0,102,0
5510,3556,0,10,25.00,560.00,-1.00,0,0,102,0
5511,3557,0,10,100.00,1120.00,-1.00,0,0,102,0
5513,3559,0,10,100.00,1120.00,-1.00,0,0,102,0
5514,3560,0,10,25.00,560.00,-1.00,0,0,102,0
5515,3561,0,10,100.00,1120.00,-1.00,0,0,102,0
5517,3563,0,10,100.00,1120.00,-1.00,0,0,102,0
5518,3564,0,10,25.00,560.00,-1.00,0,0,102,0
5520,3566,0,10,25.00,560.00,-1.00,0,0,102,0
5521,3567,0,10,100.00,1120.00,-1.00,0,0,102,0
5522,3568,0,10,25.00,560.00,-1.00,0,0,102,0
5523,3569,0,10,100.00,1120.00,-1.00,0,0,102,0
5524,3570,0,10,25.00,560.00,-1.00,0,0,102,0
5525,3571,0,10,25.00,560.00,-1.00,0,0,102,0
5526,3572,0,10,25.00,560.00,-1.00,0,0,102,0
5527,3573,0,10,25.00,560.00,-1.00,0,0,102,0
5528,3574,0,10,100.00,560.00,-1.00,0,0,102,0
5576,3619,0,10,100.00,560.00,-1.00,0,0,102,0
5577,3619,0,20,1.00,1.00,-1.00,0,0,102,0
5798,3877,0,10,1.00,1.00,-1.00,0,0,102,0
5825,3897,0,10,0.50,4.00,0.10,0,0,102,0
5826,3897,0,20,2.00,8.00,0.10,0,0,102,0
5827,3897,0,30,2.00,16.00,0.10,0,0,102,0
5828,3897,0,40,4.00,16.00,0.10,0,0,102,0
5829,3897,0,50,10.00,40.00,1.00,0,0,102,0
5830,3897,0,60,10.00,80.00,1.00,0,0,102,0
5831,3897,0,70,20.00,80.00,1.00,0,0,102,0
5832,3897,0,80,20.00,160.00,1.00,0,0,102,0
5833,3897,0,90,40.00,160.00,1.00,0,0,102,0
10749,5863,0,10,25.00,560.00,-1.00,0,0,102,0
10750,5864,0,10,100.00,1120.00,-1.00,0,0,102,0
10771,5885,0,10,25.00,25.00,-1.00,0,0,102,0
10772,5886,0,10,63.50,63.50,-1.00,0,0,102,0
10773,5887,0,10,87.00,87.00,-1.00,0,0,102,0
10774,5888,0,10,2.40,2.40,-1.00,0,0,102,0
10775,5889,0,10,110.00,133.00,-1.00,0,0,102,0
10776,5890,0,10,156.00,300.00,-1.00,0,0,102,0
10777,5891,0,10,4.90,4.90,-1.00,0,0,102,0
10778,5892,0,10,110.00,600.00,-1.00,0,0,102,0
10779,5893,0,10,100.00,400.00,-1.00,0,0,102,0
