"ID","Section_ID","MinPickup","MaxPickup"
16157,5075,1.03,40.00
16186,5078,1.03,40.00
16352,5171,1.03,40.00
16358,5172,1.03,40.00
16369,5174,1.03,40.00
16375,5175,1.03,40.00
30155,30154,1.03,40.00
30157,30156,1.03,40.00
35942,35941,1.03,40.00
35958,35957,1.03,40.00
35974,35973,1.03,40.00
36056,36055,1.03,40.00
36072,36071,1.03,40.00
38983,38982,1.03,40.00
39002,39001,1.03,40.00
39022,39021,1.03,40.00
39035,39034,1.03,40.00
39041,39040,1.03,40.00
39055,39054,1.03,40.00
39069,39068,1.03,40.00
39083,39082,1.03,25.00
39097,39096,1.03,25.00
39111,39110,1.03,25.00
39125,39124,1.03,25.00
40173,40172,1.03,40.00
40178,40177,1.03,40.00
40183,40182,1.03,40.00
40188,40187,1.03,40.00
40213,40212,1.03,40.00
40218,40217,1.03,40.00
40223,40222,1.03,40.00
40228,40227,1.03,40.00
40233,40232,1.03,40.00
40238,40237,1.03,40.00
40243,40242,1.03,40.00
40248,40247,1.03,40.00
40253,40252,1.03,40.00
40258,40257,1.03,40.00
40263,40262,1.03,40.00
40268,40267,1.03,40.00
40273,40272,1.03,40.00
40278,40277,1.03,40.00
40283,40282,1.03,40.00
40288,40287,1.03,40.00
40293,40292,1.03,40.00
40298,40297,1.03,40.00
40303,40302,1.03,40.00
40308,40307,1.03,40.00
40313,40312,1.03,40.00
40318,40317,1.03,40.00
40323,40322,1.03,40.00
40328,40327,1.03,40.00
40333,40332,1.03,40.00
42091,42090,1.03,40.00
42096,42095,1.03,40.00
42101,42100,1.03,40.00
42106,42105,1.03,40.00
42111,42110,1.03,40.00
42116,42115,1.03,40.00
42121,42120,1.03,40.00
42126,42125,1.03,40.00
42145,42144,1.03,40.00
42150,42149,1.03,40.00
42155,42154,1.03,40.00
42160,42159,1.03,40.00
42165,42164,1.03,40.00
42170,42169,1.03,40.00
42245,42244,1.03,40.00
42250,42249,1.03,40.00
42255,42254,1.03,40.00
42260,42259,1.03,40.00
42265,42264,1.03,40.00
42270,42269,1.03,40.00
42343,42342,1.03,40.00
42348,42347,1.03,40.00
42358,42357,1.03,40.00
42363,42362,1.03,40.00
42509,42508,1.03,40.00
42514,42513,1.03,40.00
42587,42586,1.03,40.00
45234,45233,1.03,30.00
45257,45256,1.03,30.00
45280,45279,1.03,30.00
45303,45302,1.03,30.00
45326,45325,1.03,30.00
45349,45348,1.03,30.00
45372,45371,1.03,30.00
45395,45394,1.03,30.00
45441,45440,1.03,30.00
45464,45463,1.03,30.00
45487,45486,1.03,30.00
45514,45513,1.03,30.00
45537,45536,1.03,30.00
45560,45559,1.03,30.00
45583,45582,1.03,30.00
45606,45605,1.03,30.00
45629,45628,1.03,30.00
45652,45651,1.03,30.00
45669,45668,1.03,30.00
45686,45685,1.03,30.00
45709,45708,1.03,30.00
46952,46951,1.03,40.00
46957,46956,1.03,40.00
46962,46961,1.03,40.00
46972,46971,1.03,40.00
46987,46986,1.03,40.00
47042,47041,1.03,40.00
47057,47056,1.03,40.00
47112,47111,1.03,40.00
47127,47126,1.03,40.00
47182,47181,1.03,40.00
47197,47196,1.03,40.00
47252,47251,1.03,40.00
47267,47266,1.03,40.00
47322,47321,1.03,40.00
47337,47336,1.03,40.00
47401,47400,1.03,40.00
47416,47415,1.03,40.00
47426,47425,1.03,40.00
47441,47440,1.03,40.00
47451,47450,1.03,40.00
47466,47465,1.03,40.00
47476,47475,1.03,40.00
47491,47490,1.03,40.00
47501,47500,1.03,40.00
47516,47515,1.03,40.00
47560,47559,1.03,40.00
47575,47574,1.03,40.00
47585,47584,1.03,40.00
47600,47599,1.03,40.00
47610,47609,1.03,40.00
47625,47624,1.03,40.00
47635,47634,1.03,40.00
47650,47649,1.03,40.00
47660,47659,1.03,40.00
47675,47674,1.03,40.00
47685,47684,1.03,40.00
47700,47699,1.03,40.00
47775,47774,1.03,40.00
47797,47796,1.03,40.00
47807,47806,1.03,40.00
47829,47828,1.03,40.00
47865,47864,1.03,40.00
47887,47886,1.03,40.00
47897,47896,1.03,40.00
47907,47906,1.03,40.00
47912,47911,1.03,40.00
47962,47961,1.03,40.00
47967,47966,1.03,40.00
47977,47976,1.03,40.00
47987,47986,1.03,40.00
47992,47991,1.03,40.00
48048,48047,1.03,40.00
48065,48064,1.03,40.00
48123,48122,1.03,40.00
48134,48133,1.03,40.00
48152,48151,1.03,40.00
48209,48208,1.03,40.00
48224,48223,1.03,40.00
48239,48238,1.03,40.00
48249,48248,1.03,40.00
48264,48263,1.03,40.00
48269,48268,1.03,40.00
48284,48283,1.03,40.00
48294,48293,1.03,40.00
48309,48308,1.03,40.00
48319,48318,1.03,40.00
48334,48333,1.03,40.00
48344,48343,1.03,40.00
48359,48358,1.03,40.00
48369,48368,1.03,40.00
48384,48383,1.03,40.00
48439,48438,1.03,40.00
48454,48453,1.03,40.00
48464,48463,1.03,40.00
48479,48478,1.03,40.00
49500,49499,1.03,40.00
49515,49514,1.03,40.00
49525,49524,1.03,40.00
49540,49539,1.03,40.00
49550,49549,1.03,40.00
49565,49564,1.03,40.00
49575,49574,1.03,40.00
49590,49589,1.03,40.00
49600,49599,1.03,40.00
49615,49614,1.03,40.00
49636,49635,1.03,40.00
49641,49640,1.03,40.00
49682,49681,1.03,40.00
49687,49686,1.03,40.00
49692,49691,1.03,40.00
49697,49696,1.03,40.00
49702,49701,1.03,40.00
49707,49706,1.03,40.00
49726,49725,1.03,40.00
49741,49740,1.03,40.00
50109,50108,1.03,40.00
50945,50944,1.03,40.00
50956,50955,1.03,40.00
51009,51008,1.03,40.00
51020,51019,1.03,40.00
51509,51508,1.03,40.00
51543,51542,1.03,40.00
51577,51576,1.03,40.00
51612,51611,1.03,40.00
54456,54455,1.03,40.00
54473,54472,1.03,40.00
54489,54488,1.03,40.00
54504,54503,1.03,40.00
54520,54519,1.03,40.00
54536,54535,1.03,40.00
54727,54726,1.03,40.00
55440,55439,1.03,40.00
56060,56059,1.03,40.00
56141,56140,1.03,40.00
56151,56150,1.03,40.00
56166,56165,1.03,40.00
56176,56175,1.03,40.00
56186,56185,1.03,40.00
56201,56200,1.03,40.00
56211,56210,1.03,40.00
56221,56220,1.03,40.00
56231,56230,1.03,40.00
56992,56991,1.03,40.00
57007,57006,1.03,40.00
57022,57021,1.03,40.00
58618,58617,1.03,40.00
58633,58632,1.03,40.00
58706,58705,1.03,40.00
58727,58726,1.03,40.00
58805,58804,1.10,20.00
58820,58819,1.10,20.00
58825,58824,1.10,20.00
58840,58839,1.10,20.00
58865,58864,1.10,40.00
58880,58879,1.10,40.00
58886,58885,1.10,40.00
58901,58900,1.10,40.00
58926,58925,1.10,20.00
58941,58940,1.10,20.00
58956,58955,1.10,20.00
58972,58971,1.10,20.00
59038,59037,1.06,20.00
59053,59052,1.06,20.00
59088,59087,1.06,20.00
59103,59102,1.06,20.00
59142,59141,1.06,20.00
59159,59158,1.06,20.00
59173,59172,1.06,20.00
59395,59394,1.10,20.00
59649,59648,1.03,40.00
59711,59710,1.03,40.00
59777,59776,1.03,40.00
60196,60195,1.06,50.00
60206,60205,1.06,50.00
60216,60215,1.06,50.00
60226,60225,1.06,50.00
60236,60235,1.06,50.00
60246,60245,1.06,50.00
60636,60635,1.03,40.00
60646,60645,1.03,40.00
62553,62552,1.03,40.00
62856,62855,1.03,40.00
62858,62857,1.03,40.00
63389,63388,1.03,40.00
63394,63393,1.03,40.00
63871,63870,1.03,40.00
63875,63874,1.03,40.00
63877,63876,1.03,40.00
64784,64783,1.03,40.00
64806,64805,1.03,40.00
64840,64839,1.03,40.00
64874,64873,1.03,40.00
65507,65506,1.03,40.00
65517,65516,1.03,40.00
65572,65571,1.03,40.00
66733,66732,1.03,40.00
66747,66746,1.03,40.00
67216,67215,1.03,40.00
67237,67236,1.03,40.00
67275,67274,1.03,40.00
67280,67279,1.03,40.00
67285,67284,1.03,40.00
67290,67289,1.03,40.00
67360,67359,1.03,30.00
67379,67378,1.03,30.00
67398,67397,1.03,30.00
67592,67591,1.03,30.00
67611,67610,1.03,30.00
67630,67629,1.03,30.00
67738,67737,1.03,30.00
67742,67741,1.03,30.00
67750,67749,1.03,30.00
67753,67752,1.03,30.00
67758,67757,1.03,30.00
67760,67759,1.03,30.00
67775,67774,1.03,40.00
67790,67789,1.03,40.00
67800,67799,1.03,40.00
67815,67814,1.03,40.00
67825,67824,1.03,40.00
67841,67840,1.03,40.00
68422,68421,1.03,40.00
68427,68426,1.03,40.00
68432,68431,1.03,40.00
68437,68436,1.03,40.00
68442,68441,1.03,40.00
68447,68446,1.03,40.00
68452,68451,1.03,40.00
68457,68456,1.03,40.00
68462,68461,1.03,40.00
68467,68466,1.03,40.00
68472,68471,1.03,40.00
68477,68476,1.03,40.00
68482,68481,1.03,40.00
68487,68486,1.03,40.00
68492,68491,1.03,40.00
68497,68496,1.03,40.00
71029,71028,1.10,20.00
71031,71030,1.10,20.00
71033,71032,1.10,20.00
71037,71036,1.10,20.00
71041,71040,1.10,20.00
71297,71296,1.03,40.00
71320,71319,1.03,40.00
71355,71354,1.03,40.00
71389,71388,1.03,40.00
71426,71425,1.03,40.00
71465,71464,1.03,40.00
71480,71479,1.03,40.00
71491,71490,1.03,40.00
71506,71505,1.03,40.00
71516,71515,1.03,40.00
71531,71530,1.03,40.00
71598,71597,1.03,40.00
71621,71620,1.03,40.00
71656,71655,1.03,40.00
71690,71689,1.03,40.00
71719,71718,1.03,40.00
71734,71733,1.03,40.00
71745,71744,1.03,40.00
71760,71759,1.03,40.00
71770,71769,1.03,40.00
71785,71784,1.03,40.00
71797,71796,1.03,40.00
71812,71811,1.03,40.00
71823,71822,1.03,40.00
71838,71837,1.03,40.00
71848,71847,1.03,40.00
71863,71862,1.03,40.00
71976,71975,1.03,40.00
71987,71986,1.03,40.00
71992,71991,1.03,40.00
72010,72009,1.03,40.00
72487,72486,1.10,20.00
72497,72496,1.10,20.00
72513,72512,1.10,20.00
72523,72522,1.10,20.00
72533,72532,1.10,20.00
72543,72542,1.10,20.00
72555,72554,1.10,20.00
72565,72564,1.10,20.00
72582,72581,1.10,20.00
72592,72591,1.10,20.00
72602,72601,1.10,20.00
72612,72611,1.10,20.00
72622,72621,1.10,20.00
72632,72631,1.10,20.00
72649,72648,1.10,20.00
72659,72658,1.10,20.00
72669,72668,1.10,20.00
72679,72678,1.10,20.00
72745,72744,1.10,20.00
72755,72754,1.10,20.00
72882,72881,1.03,40.00
72917,72916,1.03,40.00
72945,72944,1.03,40.00
72987,72986,1.03,40.00
73618,73617,1.03,40.00
73623,73622,1.03,40.00
73628,73627,1.03,40.00
73633,73632,1.03,40.00
73635,73634,1.03,40.00
73637,73636,1.03,40.00
73639,73638,1.03,40.00
73641,73640,1.03,40.00
74214,74213,1.03,40.00
74229,74228,1.03,40.00
74273,74272,1.03,40.00
74301,74300,1.03,40.00
74308,74307,1.03,40.00
74327,74326,1.03,40.00
74763,74762,1.03,40.00
74996,74995,1.03,40.00
75001,75000,1.03,40.00
75128,75127,1.03,40.00
75161,75160,1.03,40.00
77678,77677,1.03,40.00
78745,78744,1.03,40.00
78751,78750,1.03,40.00
78756,78755,1.03,40.00
78761,78760,1.03,40.00
78766,78765,1.03,40.00
78772,78771,1.03,40.00
78777,78776,1.03,40.00
78782,78781,1.03,40.00
78788,78787,1.03,40.00
