"ID","Section_ID","MinPickup","MaxPickup"
7338,2489,1.03,40.00
9653,3168,1.05,40.00
34480,34479,1.03,40.00
34522,34521,1.03,40.00
34564,34563,1.03,40.00
34606,34605,1.03,40.00
34648,34647,1.03,40.00
34690,34689,1.03,40.00
34732,34731,1.03,40.00
34774,34773,1.03,40.00
35292,35291,1.03,20.00
35309,35308,1.03,20.00
35324,35323,1.03,20.00
35339,35338,1.03,20.00
35354,35353,1.03,20.00
35582,35581,1.03,40.00
35587,35586,1.03,40.00
36124,36123,1.03,40.00
36159,36158,1.03,40.00
36188,36187,1.03,40.00
36213,36212,1.03,40.00
36235,36234,1.03,40.00
36258,36257,1.03,40.00
36275,36274,1.03,40.00
36285,36284,1.03,40.00
36345,36344,1.03,20.00
36355,36354,1.03,20.00
36365,36364,1.03,20.00
36375,36374,1.03,20.00
36385,36384,1.03,20.00
36420,36419,1.03,40.00
36445,36444,1.03,40.00
36455,36454,1.03,40.00
36465,36464,1.03,40.00
36490,36489,1.03,40.00
36515,36514,1.03,40.00
36525,36524,1.03,40.00
36547,36546,1.03,40.00
36558,36557,1.03,40.00
36935,36934,1.30,20.00
37059,37058,1.03,20.00
37069,37068,1.03,20.00
37079,37078,1.03,20.00
37089,37088,1.03,20.00
37099,37098,1.03,20.00
37209,37208,1.03,20.00
37268,37267,1.03,20.00
37293,37292,1.03,20.00
37313,37312,1.03,20.00
37403,37402,1.03,20.00
37413,37412,1.30,20.00
37423,37422,1.03,20.00
37438,37437,1.30,20.00
37448,37447,1.03,20.00
37458,37457,1.30,20.00
37499,37498,1.30,20.00
37522,37521,1.03,20.00
37546,37545,1.30,20.00
37560,37559,1.03,20.00
37576,37575,1.30,20.00
37586,37585,1.03,20.00
37596,37595,1.30,20.00
37660,37659,1.03,20.00
37670,37669,1.03,20.00
37680,37679,1.03,20.00
37690,37689,1.03,20.00
37700,37699,1.03,20.00
37885,37884,1.03,40.00
37897,37896,1.03,40.00
37903,37902,1.03,40.00
37908,37907,1.03,40.00
