"ParentID","CurveName","Ordinal","vK","vE","DTAfter","DTMinTime"
7338,"Test",10,1.00,1.00,,
9653,"Ext. Inv",10,80.00,2.00,,
9653,"Inverse",30,0.14,0.02,,
9653,"Very Inv",20,13.50,1.00,,
34480,"EI",30,80.00,2.00,20.00,0.06
34480,"LI",40,120.00,1.00,20.00,0.06
34480,"NI",10,0.14,0.02,20.00,0.06
34480,"VI",20,13.50,1.00,20.00,0.06
34522,"EI",30,80.00,2.00,20.00,0.06
34522,"LI",40,120.00,1.00,20.00,0.06
34522,"NI",10,0.14,0.02,20.00,0.06
34522,"VI",20,13.50,1.00,20.00,0.06
34564,"EI",30,80.00,2.00,20.00,0.06
34564,"LI",40,120.00,1.00,20.00,0.06
34564,"NI",10,0.14,0.02,20.00,0.06
34564,"VI",20,13.50,1.00,20.00,0.06
34606,"EI",30,80.00,2.00,20.00,0.06
34606,"LI",40,120.00,1.00,20.00,0.06
34606,"NI",10,0.14,0.02,20.00,0.06
34606,"VI",20,13.50,1.00,20.00,0.06
34648,"EI",30,80.00,2.00,20.00,0.06
34648,"LI",40,120.00,1.00,20.00,0.06
34648,"NI",10,0.14,0.02,20.00,0.06
34648,"VI",20,13.50,1.00,20.00,0.06
34690,"EI",30,80.00,2.00,20.00,0.06
34690,"LI",40,120.00,1.00,20.00,0.06
34690,"NI",10,0.14,0.02,20.00,0.06
34690,"VI",20,13.50,1.00,20.00,0.06
34732,"EI",30,80.00,2.00,20.00,0.06
34732,"LI",40,120.00,1.00,20.00,0.06
34732,"NI",10,0.14,0.02,20.00,0.06
34732,"VI",20,13.50,1.00,20.00,0.06
34774,"EI",30,80.00,2.00,20.00,0.06
34774,"LI",40,120.00,1.00,20.00,0.06
34774,"NI",10,0.14,0.02,20.00,0.06
34774,"VI",20,13.50,1.00,20.00,0.06
35292,"Extremely Inv",30,80.00,2.00,,0.04
35292,"Long-Time Inv",40,120.00,1.00,,0.04
35292,"Normal Inv",10,0.14,0.02,,0.04
35292,"Very Inv",20,13.50,1.00,,0.04
35309,"Extremely Inv",30,80.00,2.00,,0.04
35309,"Long-Time Inv",40,120.00,1.00,,0.04
35309,"Normal Inv",10,0.14,0.02,,0.04
35309,"Very Inv",20,13.50,1.00,,0.04
35324,"Extremely Inv",30,80.00,2.00,,0.04
35324,"Long-Time Inv",40,120.00,1.00,,0.04
35324,"Normal Inv",10,0.14,0.02,,0.04
35324,"Very Inv",20,13.50,1.00,,0.04
35339,"Extremely Inv",30,80.00,2.00,,0.04
35339,"Long-Time Inv",40,120.00,1.00,,0.04
35339,"Normal Inv",10,0.14,0.02,,0.04
35339,"Very Inv",20,13.50,1.00,,0.04
35354,"Extremely Inv",30,80.00,2.00,,0.04
35354,"Long-Time Inv",40,120.00,1.00,,0.04
35354,"Normal Inv",10,0.14,0.02,,0.04
35354,"Very Inv",20,13.50,1.00,,0.04
35582,"Extremely Inverse",30,80.00,2.00,20.00,0.04
35582,"Long-time Inverse",40,120.00,1.00,20.00,0.04
35582,"Normal Inverse",10,0.14,0.02,20.00,0.04
35582,"Very Inverse",20,13.50,1.00,20.00,0.04
35587,"Extremely Inverse",30,80.00,2.00,20.00,0.04
35587,"Long-time Inverse",40,120.00,1.00,20.00,0.04
35587,"Normal Inverse",10,0.14,0.02,20.00,0.04
