"ID","Section_ID","MinPickup","MaxPickup"
34494,34493,1.03,40.00
34536,34535,1.03,40.00
34578,34577,1.03,40.00
34620,34619,1.03,40.00
34662,34661,1.03,40.00
34704,34703,1.03,40.00
34746,34745,1.03,40.00
34788,34787,1.03,40.00
46977,46976,1.03,40.00
47047,47046,1.03,40.00
47117,47116,1.03,40.00
47187,47186,1.03,40.00
47257,47256,1.03,40.00
47327,47326,1.03,40.00
47406,47405,1.03,40.00
47431,47430,1.03,40.00
47456,47455,1.03,40.00
47481,47480,1.03,40.00
47506,47505,1.03,40.00
47565,47564,1.03,40.00
47590,47589,1.03,40.00
47615,47614,1.03,40.00
47640,47639,1.03,40.00
47665,47664,1.03,40.00
47690,47689,1.03,40.00
47902,47901,1.03,40.00
47982,47981,1.03,40.00
48053,48052,1.03,40.00
48140,48139,1.03,40.00
48204,48203,1.03,40.00
48214,48213,1.03,40.00
48229,48228,1.03,40.00
48244,48243,1.03,40.00
48254,48253,1.03,40.00
48274,48273,1.03,40.00
48299,48298,1.03,40.00
48324,48323,1.03,40.00
48349,48348,1.03,40.00
48374,48373,1.03,40.00
48444,48443,1.03,40.00
48469,48468,1.03,40.00
49505,49504,1.03,40.00
49530,49529,1.03,40.00
49555,49554,1.03,40.00
49580,49579,1.03,40.00
49605,49604,1.03,40.00
49625,49624,1.03,40.00
49731,49730,1.03,40.00
49847,49846,1.05,40.00
49857,49856,1.05,40.00
49867,49866,1.05,40.00
49882,49881,1.05,40.00
49904,49903,1.05,40.00
49909,49908,1.05,40.00
49920,49919,1.05,40.00
49934,49933,1.05,40.00
49948,49947,1.05,40.00
49962,49961,1.05,40.00
49969,49968,1.05,40.00
49983,49982,1.05,40.00
49997,49996,1.05,40.00
50002,50001,1.05,40.00
50012,50011,1.05,40.00
50022,50021,1.05,40.00
50038,50037,1.03,40.00
50056,50055,1.03,40.00
50072,50071,1.03,40.00
50084,50083,1.03,40.00
50094,50093,1.03,40.00
50266,50265,1.03,40.00
50276,50275,1.03,40.00
50282,50281,1.03,40.00
50292,50291,1.03,40.00
50298,50297,1.03,40.00
50309,50308,1.03,40.00
50314,50313,1.03,40.00
50324,50323,1.03,40.00
50519,50518,1.03,20.00
50525,50524,1.03,20.00
50540,50539,1.03,20.00
50545,50544,1.03,20.00
50550,50549,1.03,20.00
50560,50559,1.03,20.00
50566,50565,1.03,20.00
50581,50580,1.03,20.00
50586,50585,1.03,20.00
50591,50590,1.03,20.00
50601,50600,1.03,20.00
50606,50605,1.03,20.00
50621,50620,1.03,20.00
50626,50625,1.03,20.00
50631,50630,1.03,20.00
50641,50640,1.03,20.00
50646,50645,1.03,20.00
50661,50660,1.03,20.00
50666,50665,1.03,20.00
50671,50670,1.03,20.00
50681,50680,1.03,20.00
50697,50696,1.03,20.00
50707,50706,1.03,20.00
50718,50717,1.03,20.00
50737,50736,1.03,20.00
50742,50741,1.03,20.00
50747,50746,1.03,20.00
50754,50753,1.03,20.00
50765,50764,1.03,20.00
50771,50770,1.03,20.00
50784,50783,1.03,40.00
50804,50803,1.03,40.00
50819,50818,1.03,40.00
50829,50828,1.03,40.00
50844,50843,1.03,40.00
50854,50853,1.03,40.00
50859,50858,1.03,40.00
50864,50863,1.03,40.00
50885,50884,1.03,40.00
50900,50899,1.03,40.00
50905,50904,1.03,40.00
50915,50914,1.03,40.00
50926,50925,1.03,40.00
50931,50930,1.03,40.00
50948,50947,1.03,40.00
51012,51011,1.03,40.00
51497,51496,1.03,40.00
51514,51513,1.03,40.00
51531,51530,1.03,40.00
51548,51547,1.03,40.00
51565,51564,1.03,40.00
51583,51582,1.03,40.00
51601,51600,1.03,40.00
51617,51616,1.03,40.00
53890,53889,1.03,40.00
53920,53919,1.03,40.00
53950,53949,1.03,40.00
53980,53979,1.03,40.00
54010,54009,1.03,40.00
54056,54055,1.03,40.00
54081,54080,1.03,40.00
54106,54105,1.03,40.00
54132,54131,1.03,40.00
54157,54156,1.03,40.00
54446,54445,1.03,40.00
54462,54461,1.03,40.00
54478,54477,1.03,40.00
54494,54493,1.03,40.00
54509,54508,1.03,40.00
54525,54524,1.03,40.00
54548,54547,1.03,40.00
54564,54563,1.03,40.00
54585,54584,1.03,40.00
54600,54599,1.03,40.00
54621,54620,1.03,40.00
54637,54636,1.03,40.00
54658,54657,1.03,40.00
54679,54678,1.03,20.00
54700,54699,1.03,20.00
54721,54720,1.03,20.00
54753,54752,1.03,20.00
54759,54758,1.03,20.00
54775,54774,1.03,20.00
54781,54780,1.03,20.00
54786,54785,1.03,20.00
54797,54796,1.03,20.00
54803,54802,1.03,20.00
54819,54818,1.03,20.00
54825,54824,1.03,20.00
54830,54829,1.03,20.00
54840,54839,1.03,20.00
54850,54849,1.03,20.00
54860,54859,1.03,20.00
54871,54870,1.03,20.00
54890,54889,1.03,20.00
54895,54894,1.03,20.00
54902,54901,1.03,20.00
54912,54911,1.03,20.00
54917,54916,1.03,20.00
54924,54923,1.03,40.00
54943,54942,1.03,40.00
54958,54957,1.03,40.00
54968,54967,1.03,40.00
54983,54982,1.03,40.00
54993,54992,1.03,40.00
54998,54997,1.03,40.00
55003,55002,1.03,40.00
55022,55021,1.03,40.00
55037,55036,1.03,40.00
55042,55041,1.03,40.00
55052,55051,1.03,40.00
55063,55062,1.03,40.00
55068,55067,1.03,40.00
60521,60520,1.03,40.00
60570,60569,1.03,40.00
60757,60756,1.03,40.00
60772,60771,1.03,40.00
60787,60786,1.03,40.00
64760,64759,1.03,40.00
64772,64771,1.03,40.00
64789,64788,1.03,40.00
64811,64810,1.03,40.00
64828,64827,1.03,40.00
64845,64844,1.03,40.00
64862,64861,1.03,40.00
64879,64878,1.03,40.00
65041,65040,1.03,40.00
65050,65049,1.03,40.00
65088,65087,1.03,40.00
65095,65094,1.03,40.00
67780,67779,1.03,40.00
67805,67804,1.03,40.00
67831,67830,1.03,40.00
69018,69017,1.03,40.00
69043,69042,1.03,40.00
69068,69067,1.03,40.00
69094,69093,1.03,40.00
69119,69118,1.03,40.00
69214,69213,1.03,40.00
69278,69277,1.03,40.00
71273,71272,1.03,40.00
71285,71284,1.03,40.00
71302,71301,1.03,40.00
71325,71324,1.03,40.00
71343,71342,1.03,40.00
71360,71359,1.03,40.00
71377,71376,1.03,40.00
71394,71393,1.03,40.00
71470,71469,1.03,40.00
71496,71495,1.03,40.00
71521,71520,1.03,40.00
71574,71573,1.03,40.00
71586,71585,1.03,40.00
71603,71602,1.03,40.00
71626,71625,1.03,40.00
71644,71643,1.03,40.00
71661,71660,1.03,40.00
71678,71677,1.03,40.00
71695,71694,1.03,40.00
71724,71723,1.03,40.00
71750,71749,1.03,40.00
71775,71774,1.03,40.00
71802,71801,1.03,40.00
71828,71827,1.03,40.00
71853,71852,1.03,40.00
72889,72888,1.03,40.00
72903,72902,1.03,40.00
72924,72923,1.03,40.00
72952,72951,1.03,40.00
72973,72972,1.03,40.00
72994,72993,1.03,40.00
73333,73332,1.03,40.00
73360,73359,1.03,40.00
73377,73376,1.03,40.00
73400,73399,1.03,40.00
73438,73437,1.03,40.00
73450,73449,1.03,40.00
73474,73473,1.03,40.00
73492,73491,1.03,40.00
73504,73503,1.03,40.00
73528,73527,1.03,40.00
74224,74223,1.03,40.00
74287,74286,1.03,40.00
74294,74293,1.03,40.00
75042,75041,1.03,40.00
75055,75054,1.03,40.00
75111,75110,1.03,40.00
75123,75122,1.03,40.00
75145,75144,1.03,40.00
75156,75155,1.03,40.00
77624,77623,1.03,40.00
77645,77644,1.03,40.00
77798,77797,1.03,40.00
77861,77860,1.03,40.00
79458,79457,1.03,40.00
79460,79459,1.03,40.00
79462,79461,1.03,40.00
79464,79463,1.03,40.00
79466,79465,1.03,40.00
79468,79467,1.03,40.00
79470,79469,1.03,40.00
79596,79595,1.03,40.00
79598,79597,1.03,40.00
79602,79601,1.03,40.00
79604,79603,1.03,40.00
79608,79607,1.03,40.00
79610,79609,1.03,40.00
79614,79613,1.03,40.00
79616,79615,1.03,40.00
81097,81096,1.03,40.00
81109,81108,1.03,40.00
81126,81125,1.03,40.00
81149,81148,1.03,40.00
81167,81166,1.03,40.00
81184,81183,1.03,40.00
81201,81200,1.03,40.00
81218,81217,1.03,40.00
81235,81234,1.03,40.00
81252,81251,1.03,40.00
81270,81269,1.03,40.00
81287,81286,1.03,40.00
81433,81432,1.03,40.00
81452,81451,1.03,40.00
82986,82985,1.03,40.00
83036,83035,1.03,40.00
83589,83588,1.03,40.00
83604,83603,1.03,40.00
83897,83896,1.03,40.00
83899,83898,1.03,40.00
83901,83900,1.03,40.00
83903,83902,1.03,40.00
83905,83904,1.03,40.00
84863,84862,1.03,40.00
84900,84899,1.03,40.00
85103,85102,1.03,40.00
85137,85136,1.03,40.00
85174,85173,1.03,40.00
85209,85208,1.03,40.00
85738,85737,1.03,40.00
85780,85779,1.03,40.00
87713,87712,1.03,40.00
87748,87747,1.03,40.00
88187,88186,1.03,40.00
88199,88198,1.03,40.00
88207,88206,1.03,40.00
88211,88210,1.03,40.00
88215,88214,1.03,40.00
88229,88228,1.03,40.00
88338,88337,1.03,40.00
88345,88344,1.03,40.00
88360,88359,1.03,40.00
89075,89074,1.03,40.00
89092,89091,1.03,40.00
89100,89099,1.03,40.00
89105,89104,1.03,40.00
89113,89112,1.03,40.00
89118,89117,1.03,40.00
89734,89733,1.03,40.00
89736,89735,1.03,40.00
89740,89739,1.03,40.00
89742,89741,1.03,40.00
89746,89745,1.03,40.00
89748,89747,1.03,40.00
89752,89751,1.03,40.00
89754,89753,1.03,40.00
91261,91260,1.03,40.00
91341,91340,1.03,40.00
