"ID","Section_ID","MinPickup","MaxPickup"
9258,3043,1.03,40.00
35217,35216,1.03,40.00
35230,35229,1.03,40.00
35297,35296,1.03,40.00
35314,35313,1.03,40.00
35329,35328,1.03,40.00
35344,35343,1.03,40.00
35359,35358,1.03,40.00
35372,35371,1.10,20.00
35384,35383,1.10,20.00
35396,35395,1.10,20.00
35932,35931,1.03,40.00
35947,35946,1.03,40.00
35963,35962,1.03,40.00
36045,36044,1.03,40.00
36061,36060,1.03,40.00
36116,36115,1.03,40.00
36136,36135,1.03,40.00
36141,36140,1.03,40.00
36179,36178,1.03,40.00
36200,36199,1.03,40.00
36205,36204,1.03,40.00
36225,36224,1.03,40.00
36230,36229,1.03,40.00
36400,36399,1.03,40.00
36425,36424,1.03,40.00
36470,36469,1.03,40.00
36495,36494,1.03,40.00
37214,37213,1.03,40.00
37273,37272,1.03,40.00
37428,37427,1.03,40.00
37475,37474,1.03,40.00
37565,37564,1.03,40.00
37777,37776,1.03,40.00
37797,37796,1.03,40.00
38275,38274,1.03,40.00
38280,38279,1.03,40.00
38290,38289,1.03,40.00
38300,38299,1.03,40.00
38310,38309,1.03,40.00
38315,38314,1.03,40.00
38325,38324,1.03,40.00
38335,38334,1.03,40.00
77120,77119,1.03,40.00
77156,77155,1.03,40.00
77696,77695,1.03,40.00
77761,77760,1.03,40.00
80819,80818,1.03,40.00
86408,86407,1.03,40.00
86441,86440,1.03,40.00
87768,87767,1.03,40.00
87773,87772,1.03,40.00
87778,87777,1.03,40.00
