"ParentID","CurveName","Ordinal","vA","vB","vC"
9258,"Extremely Inverse",10,6.47,0.02,1.00
9258,"Inverse",30,8.6e-03,0.01,1.00
9258,"Long Time Ext Inverse",60,64.07,0.25,1.00
9258,"Long TIme Inverse",80,0.08,0.18,1.00
9258,"Long TIme Very Inverse",70,28.55,0.71,1.00
9258,"Short TIme Extremely Inv",50,1.28,5.0e-03,1.00
9258,"Short Time Inverse",40,1.72e-03,3.7e-03,1.00
9258,"Very Inverse",20,2.85,0.07,1.00
35217,"Ext Inverse",10,6.40,0.02,2.00
35217,"Inverse",30,8.6e-03,0.01,0.02
35217,"L T Ext. Inverse",60,64.07,0.25,2.00
35217,"L T Inverse",80,0.08,0.18,0.02
35217,"L T Very Inverse",70,28.55,0.71,2.00
35217,"S T Inverse",40,1.72e-03,3.7e-03,0.02
35217,"Very Inverse",20,2.85,0.07,2.00
35230,"Ext Inverse",10,6.40,0.02,2.00
35230,"Inverse",30,8.6e-03,0.01,0.02
35230,"L T Ext. Inverse",50,64.07,0.25,2.00
35230,"L T Inverse",70,0.08,0.18,0.02
35230,"L T Very Inverse",60,28.55,0.71,2.00
35230,"S T Inverse",40,1.72e-03,3.7e-03,0.02
35230,"Very Inverse",20,2.85,0.07,2.00
35297,"Ext Inverse",10,6.40,0.02,2.00
35297,"Inverse",30,8.6e-03,0.01,0.02
35297,"L T Ext. Inverse",60,64.07,0.25,2.00
35297,"L T Inverse",80,0.08,0.18,0.02
35297,"L T Very Inverse",70,28.55,0.71,2.00
35297,"Recloser Curve #8",90,4.21,0.01,1.80
35297,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
35297,"S T Inverse",40,1.72e-03,3.7e-03,0.02
35297,"Very Inverse",20,2.85,0.07,2.00
35314,"Ext Inverse",10,6.40,0.02,2.00
35314,"Inverse",30,8.6e-03,0.01,0.02
35314,"L T Ext. Inverse",60,64.07,0.25,2.00
35314,"L T Inverse",80,0.08,0.18,0.02
35314,"L T Very Inverse",70,28.55,0.71,2.00
35314,"Recloser Curve #8",90,4.21,0.01,1.80
35314,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
35314,"S T Inverse",40,1.72e-03,3.7e-03,0.02
35314,"Very Inverse",20,2.85,0.07,2.00
35329,"Ext Inverse",10,6.40,0.02,2.00
35329,"Inverse",30,8.6e-03,0.01,0.02
35329,"L T Ext. Inverse",60,64.07,0.25,2.00
35329,"L T Inverse",80,0.08,0.18,0.02
35329,"L T Very Inverse",70,28.55,0.71,2.00
35329,"Recloser Curve #8",90,4.21,0.01,1.80
35329,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
35329,"S T Inverse",40,1.72e-03,3.7e-03,0.02
35329,"Very Inverse",20,2.85,0.07,2.00
35344,"Ext Inverse",10,6.40,0.02,2.00
35344,"Inverse",30,8.6e-03,0.01,0.02
35344,"L T Ext. Inverse",60,64.07,0.25,2.00
35344,"L T Inverse",80,0.08,0.18,0.02
35344,"L T Very Inverse",70,28.55,0.71,2.00
35344,"Recloser Curve #8",90,4.21,0.01,1.80
35344,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
35344,"S T Inverse",40,1.72e-03,3.7e-03,0.02
35344,"Very Inverse",20,2.85,0.07,2.00
35359,"Ext Inverse",10,6.40,0.02,2.00
35359,"Inverse",30,8.6e-03,0.01,0.02
35359,"L T Ext. Inverse",60,64.07,0.25,2.00
35359,"L T Inverse",80,0.08,0.18,0.02
35359,"L T Very Inverse",70,28.55,0.71,2.00
35359,"Recloser Curve #8",90,4.21,0.01,1.80
35359,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
35359,"S T Inverse",40,1.72e-03,3.7e-03,0.02
35359,"Very Inverse",20,2.85,0.07,2.00
35372,"Ext Inverse",10,6.40,0.02,2.00
35372,"Inverse",30,8.6e-03,0.01,0.02
35372,"L T Ext. Inverse",60,64.07,0.25,2.00
35372,"L T Inverse",80,0.08,0.18,0.02
35372,"L T Very Inverse",70,28.55,0.71,2.00
35372,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
35372,"S T Inverse",40,1.72e-03,3.7e-03,0.02
35372,"Very Inverse",20,2.85,0.07,2.00
35384,"Extremly Inverse",10,6.40,0.02,2.00
35384,"Inverse",30,8.6e-03,0.01,0.02
35384,"Long Time Ext. Inv.",60,64.07,0.25,2.00
35384,"Long Time Inverse",80,0.08,0.18,0.02
35384,"Long Time Very Inverse",70,28.55,0.71,2.00
35384,"Short Time Ext. Inv.",50,1.28,5.0e-03,2.00
35384,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
35384,"Very Inverse",20,2.85,0.07,2.00
35396,"Extremly Inverse",10,6.40,0.02,2.00
35396,"Inverse",30,8.6e-03,0.01,0.02
35396,"Long Time Ext. Inv.",60,64.07,0.25,2.00
35396,"Long Time Inverse",80,0.08,0.18,0.02
35396,"Long Time Very Inverse",70,28.55,0.71,2.00
35396,"Short Time Ext. Inv.",50,1.28,5.0e-03,2.00
35396,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
35396,"Very Inverse",20,2.85,0.07,2.00
35932,"LT EI",10,64.07,0.25,2.00
35932,"LT I",30,0.08,0.18,0.02
35932,"LT VI",20,28.55,0.71,2.00
35932,"Very LT EI",40,640.70,2.50,2.00
35932,"Very LT I",60,0.86,1.85,0.02
35932,"Very LT VI",50,285.50,7.12,2.00
35947,"EI",10,6.40,0.02,2.00
35947,"Inv",30,8.6e-03,0.01,0.02
35947,"LT EI",50,64.07,0.25,2.00
35947,"LT I",70,0.08,0.18,0.02
35947,"LT VI",60,28.55,0.71,2.00
35947,"ST Inv",40,1.72e-03,3.7e-03,0.02
35947,"Very LT EI",80,640.70,2.50,2.00
35947,"Very LT I",100,0.86,1.85,0.02
35947,"Very LT VI",90,285.50,7.12,2.00
35947,"VI",20,2.85,0.07,2.00
35963,"EI",10,6.40,0.02,2.00
35963,"Inv",30,8.6e-03,0.01,0.02
35963,"LT EI",50,64.07,0.25,2.00
35963,"LT I",70,0.08,0.18,0.02
35963,"LT VI",60,28.55,0.71,2.00
35963,"ST Inv",40,1.72e-03,3.7e-03,0.02
35963,"Very LT EI",80,640.70,2.50,2.00
35963,"Very LT I",100,0.86,1.85,0.02
35963,"Very LT VI",90,285.50,7.12,2.00
35963,"VI",20,2.85,0.07,2.00
36045,"EI",10,6.40,0.02,2.00
36045,"Inv",30,8.6e-03,0.01,0.02
36045,"LT EI",50,64.07,0.25,2.00
