"ID","Section_ID","MinPickup","MaxPickup"
65422,65421,1.03,40.00
65431,65430,1.03,40.00
65460,65459,1.03,40.00
67459,67458,1.03,40.00
67486,67485,1.03,40.00
67513,67512,1.03,40.00
69221,69220,1.03,40.00
69293,69292,1.03,40.00
70595,70594,1.03,40.00
70623,70622,1.03,40.00
70630,70629,1.03,40.00
77833,77832,1.03,40.00
77875,77874,1.03,40.00
80029,80028,1.03,40.00
80087,80086,1.03,40.00
84879,84878,1.03,40.00
84913,84912,1.03,40.00
85116,85115,1.03,40.00
85150,85149,1.03,40.00
85181,85180,1.03,40.00
85216,85215,1.03,40.00
85433,85432,1.03,40.00
85490,85489,1.03,40.00
87720,87719,1.03,40.00
87755,87754,1.03,40.00
89419,89418,1.03,40.00
