"ID","Section_ID","MinPickup","MaxPickup"
34487,34486,1.03,40.00
34529,34528,1.03,40.00
34571,34570,1.03,40.00
34613,34612,1.03,40.00
34655,34654,1.03,40.00
34697,34696,1.03,40.00
34739,34738,1.03,40.00
34781,34780,1.03,40.00
36340,36339,1.03,40.00
36350,36349,1.03,40.00
36360,36359,1.03,40.00
36370,36369,1.03,40.00
36380,36379,1.03,40.00
36537,36536,1.03,40.00
36671,36670,1.03,40.00
36677,36676,1.03,40.00
36683,36682,1.03,40.00
36699,36698,1.03,40.00
36704,36703,1.03,40.00
36715,36714,1.03,40.00
36723,36722,1.03,40.00
36728,36727,1.03,40.00
36740,36739,1.03,40.00
36745,36744,1.03,40.00
36754,36753,1.03,40.00
36759,36758,1.03,40.00
36780,36779,1.03,40.00
36785,36784,1.03,40.00
36801,36800,1.03,40.00
36806,36805,1.03,40.00
36816,36815,1.03,40.00
36824,36823,1.03,40.00
36829,36828,1.03,40.00
36842,36841,1.03,40.00
36847,36846,1.03,40.00
36856,36855,1.03,40.00
36861,36860,1.03,40.00
36888,36887,1.03,40.00
36895,36894,1.03,40.00
36909,36908,1.03,40.00
36916,36915,1.03,40.00
37054,37053,1.03,40.00
37064,37063,1.03,40.00
37074,37073,1.03,40.00
37084,37083,1.03,40.00
37094,37093,1.03,40.00
37325,37324,1.03,40.00
37332,37331,1.03,40.00
37339,37338,1.03,40.00
37346,37345,1.03,40.00
37353,37352,1.03,40.00
37367,37366,1.03,40.00
37384,37383,1.03,40.00
37614,37613,1.03,40.00
37621,37620,1.03,40.00
37635,37634,1.03,40.00
37655,37654,1.03,40.00
37665,37664,1.03,40.00
37675,37674,1.03,40.00
37685,37684,1.03,40.00
37695,37694,1.03,40.00
38842,38841,1.05,30.00
38852,38851,1.03,30.00
38858,38857,1.03,10.00
38863,38862,1.03,20.00
38868,38867,1.03,30.00
38873,38872,1.03,30.00
38955,38954,1.03,40.00
38976,38975,1.03,40.00
39310,39309,1.03,40.00
39325,39324,1.03,40.00
39340,39339,1.03,40.00
39355,39354,1.03,40.00
39370,39369,1.03,40.00
39385,39384,1.03,40.00
39395,39394,1.03,40.00
39405,39404,1.03,40.00
39415,39414,1.03,40.00
39425,39424,1.03,40.00
39440,39439,1.03,40.00
39450,39449,1.03,40.00
39460,39459,1.03,40.00
39470,39469,1.03,40.00
39480,39479,1.03,40.00
39496,39495,1.03,40.00
39506,39505,1.03,40.00
39516,39515,1.03,40.00
39526,39525,1.03,40.00
39531,39530,1.03,40.00
39537,39536,1.03,40.00
39542,39541,1.03,40.00
39559,39558,1.03,40.00
39569,39568,1.03,40.00
39579,39578,1.03,40.00
39624,39623,1.03,40.00
39634,39633,1.03,40.00
39655,39654,1.03,40.00
39676,39675,1.03,40.00
39727,39726,1.03,40.00
39772,39771,1.03,40.00
39817,39816,1.03,40.00
39888,39887,1.03,40.00
39904,39903,1.03,40.00
39910,39909,1.03,40.00
39925,39924,1.03,40.00
39946,39945,1.03,40.00
39956,39955,1.03,40.00
39971,39970,1.03,40.00
39992,39991,1.03,40.00
40002,40001,1.03,40.00
40019,40018,1.03,40.00
40040,40039,1.03,40.00
40050,40049,1.03,40.00
44636,44635,1.03,40.00
44644,44643,1.03,40.00
44652,44651,1.03,40.00
44660,44659,1.03,40.00
44668,44667,1.03,40.00
44676,44675,1.03,40.00
44682,44681,1.03,40.00
44688,44687,1.03,40.00
44694,44693,1.03,40.00
44699,44698,1.03,40.00
44704,44703,1.03,40.00
44709,44708,1.03,40.00
44714,44713,1.03,40.00
44721,44720,1.03,40.00
44728,44727,1.03,40.00
44733,44732,1.03,40.00
44738,44737,1.03,40.00
44743,44742,1.03,40.00
45824,45823,1.03,40.00
45838,45837,1.03,40.00
47723,47722,1.03,40.00
47728,47727,1.03,40.00
47733,47732,1.03,40.00
47743,47742,1.03,40.00
47748,47747,1.03,40.00
51525,51524,1.03,40.00
51559,51558,1.03,40.00
51595,51594,1.03,40.00
51628,51627,1.03,40.00
52383,52382,1.03,40.00
53902,53901,1.03,40.00
53932,53931,1.03,40.00
53962,53961,1.03,40.00
53992,53991,1.03,40.00
54022,54021,1.03,40.00
54066,54065,1.03,40.00
54091,54090,1.03,40.00
54117,54116,1.03,40.00
54142,54141,1.03,40.00
54167,54166,1.03,40.00
54220,54219,1.03,40.00
54226,54225,1.03,40.00
54231,54230,1.03,40.00
54236,54235,1.03,40.00
55993,55992,1.50,20.00
55998,55997,1.50,20.00
56003,56002,1.50,20.00
56008,56007,1.50,20.00
56025,56024,1.50,20.00
56030,56029,1.50,20.00
56035,56034,1.50,20.00
56040,56039,1.50,20.00
56045,56044,1.50,20.00
56050,56049,1.50,20.00
56055,56054,1.50,20.00
56082,56081,1.03,40.00
56087,56086,1.03,40.00
56092,56091,1.03,40.00
56097,56096,1.03,40.00
56102,56101,1.03,40.00
56239,56238,1.50,30.00
56244,56243,1.50,30.00
56249,56248,1.50,30.00
56254,56253,1.50,30.00
56259,56258,1.50,30.00
56264,56263,1.50,30.00
56850,56849,1.50,30.00
56855,56854,1.50,20.00
56860,56859,1.50,30.00
56865,56864,1.50,20.00
56870,56869,1.50,30.00
56875,56874,1.50,20.00
56880,56879,1.50,30.00
56885,56884,1.50,20.00
56890,56889,1.50,30.00
56895,56894,1.50,20.00
56900,56899,1.50,30.00
56905,56904,1.50,20.00
56910,56909,1.50,30.00
56917,56916,1.50,20.00
56924,56923,1.50,30.00
56931,56930,1.50,20.00
56938,56937,1.50,30.00
56945,56944,1.50,20.00
56952,56951,1.50,30.00
56957,56956,1.50,20.00
56962,56961,1.50,30.00
56967,56966,1.50,20.00
56972,56971,1.50,30.00
56977,56976,1.50,20.00
57064,57063,1.50,30.00
57069,57068,1.50,20.00
57074,57073,1.50,30.00
57079,57078,1.50,20.00
57084,57083,1.50,30.00
57089,57088,1.50,20.00
57094,57093,1.50,30.00
57099,57098,1.50,20.00
57104,57103,1.50,30.00
57109,57108,1.50,20.00
57114,57113,1.50,30.00
57119,57118,1.50,20.00
57124,57123,1.50,30.00
57129,57128,1.50,20.00
57134,57133,1.03,40.00
57144,57143,1.03,40.00
57149,57148,1.03,40.00
57159,57158,1.03,40.00
57164,57163,1.03,40.00
57169,57168,1.03,40.00
57174,57173,1.03,40.00
57179,57178,1.03,40.00
57189,57188,1.03,40.00
57194,57193,1.03,40.00
57199,57198,1.03,40.00
57209,57208,1.03,40.00
57214,57213,1.03,40.00
57219,57218,1.03,40.00
57224,57223,1.03,40.00
57229,57228,1.03,40.00
57234,57233,1.03,40.00
57239,57238,1.03,40.00
57244,57243,1.03,40.00
57254,57253,1.50,100.00
57259,57258,1.50,100.00
57264,57263,1.50,100.00
57269,57268,1.50,100.00
57274,57273,1.50,100.00
57279,57278,1.50,100.00
57289,57288,1.50,100.00
57294,57293,1.50,100.00
57299,57298,1.50,100.00
57304,57303,1.50,100.00
57309,57308,1.50,100.00
57314,57313,1.50,100.00
57319,57318,1.50,100.00
57324,57323,1.50,100.00
57342,57341,1.03,40.00
57347,57346,1.03,40.00
57352,57351,1.03,40.00
57359,57358,1.03,40.00
57366,57365,1.03,40.00
57373,57372,1.03,40.00
57378,57377,1.03,40.00
57383,57382,1.03,40.00
57390,57389,1.03,40.00
57394,57393,1.03,40.00
57600,57599,1.03,40.00
57605,57604,1.03,40.00
57659,57658,1.03,40.00
57664,57663,1.03,40.00
57674,57673,1.03,40.00
57679,57678,1.03,40.00
57689,57688,1.03,40.00
57694,57693,1.03,40.00
57704,57703,1.03,40.00
57709,57708,1.03,40.00
57763,57762,1.03,40.00
57768,57767,1.03,40.00
57778,57777,1.03,40.00
57783,57782,1.03,40.00
57793,57792,1.03,40.00
57798,57797,1.03,40.00
57808,57807,1.03,40.00
57813,57812,1.03,40.00
57823,57822,1.03,40.00
57828,57827,1.03,40.00
57838,57837,1.03,40.00
57843,57842,1.03,40.00
57853,57852,1.03,40.00
57858,57857,1.03,40.00
57956,57955,1.03,40.00
57976,57975,1.03,40.00
59457,59456,1.03,40.00
59479,59478,1.03,40.00
59494,59493,1.03,40.00
59504,59503,1.03,40.00
59522,59521,1.03,40.00
59534,59533,1.03,40.00
59548,59547,1.03,40.00
59567,59566,1.03,40.00
59581,59580,1.03,40.00
59598,59597,1.03,40.00
59609,59608,1.03,40.00
59620,59619,1.03,40.00
60101,60100,1.03,40.00
60111,60110,1.03,40.00
60116,60115,1.03,40.00
60126,60125,1.03,40.00
