"ID","Mfr_ID","Type","Note","MultFunction","DCOffsetFilter","RelayClass","RelayConstr"
161,1,"46D","ABB Current Balance, Negative Sequence Overcurrent Relay.

Technical Data, 41-025, Page 75;  Dec. 1991.
",0,1,0,0
162,1,"46H","ABB Current Balance, Negative Sequence Overcurrent Relay.

Technical Data, 41-025, Page 75;  Dec. 1991.
",0,1,0,0
163,1,"49/50/51 Motor","ABB Circuit shield Type 49/50/51 Motor Overcurrent Relay

Instructions Booklet: IB 7.2.1.7-4 Issue C

Note : 51 has its pickup fixed at 3 times the relay tap (49) setting.
          The pickup setting for 51 is modeled 3 times range of 49 tap settings.

           Similarly, 50 pickup setting is function of 49 tap setting too.
          So setting for 51 should be 3 times tap setting of 49.",1,1,0,0
164,1,"50B","ABB Type 50B Relay 
Fault Current Detector
2 Phases and Ground

Technical Data  41-025
",1,1,0,0
165,1,"50D","ABB Type 50D Relay 
High Dropout Overcurrent, Definite Time

Technical Data  41-025
",0,1,0,0
166,1,"50H","ABB Type 50H Relay 
Instantaneous Overcurrent, High Dropout

Technical Data  41-025
",0,1,0,0
371,1,"BL-1","Type BL-1 Therma Overload Relay
(Class 1E Applications)

Instruction Leaflet 41-553.2B
",0,0,0,2
879,1,"CEPA","CEPA Relay
Distribution Feeder Protection System

Instruction Booklet
IB 7.11.1.7-60",1,0,0,0
370,1,"CM","ABB Type CM Phase Balance Current Relay

Instruction Leaflet 41-181.2K
",0,0,0,1
701,1,"CO-11(92)","Type CO
Overcurrent Relay

Instruction Leaflet : 41-101U

Effective: January 1992
Supersedes I.L. 41-101T, Dated March 1968


Note : The (92) in the type name refers to the year 1992, the document publication year.",0,0,0,0
695,1,"CO-2(92)","Type CO
Overcurrent Relay

Instruction Leaflet : 41-101U

Effective: January 1992
Supersedes I.L. 41-101T, Dated March 1968

Note : The (92) in the type name refers to the year 1992, the document publication year.
",1,0,0,0
696,1,"CO-5(92)","Type CO
Overcurrent Relay

Instruction Leaflet : 41-101U

Effective: January 1992
Supersedes I.L. 41-101T, Dated March 1968

Note : The (92) in the type name refers to the year 1992, the document publication year.",1,0,0,0
697,1,"CO-6(92)","Type CO
Overcurrent Relay

Instruction Leaflet : 41-101U

Effective: January 1992
Supersedes I.L. 41-101T, Dated March 1968

Note : The (92) in the type name refers to the year 1992, the document publication year.",1,0,0,0
698,1,"CO-7(92)","Type CO
Overcurrent Relay

Instruction Leaflet : 41-101U

Effective: January 1992
Supersedes I.L. 41-101T, Dated March 1968

Note : The (92) in the type name refers to the year 1992, the document publication year.",1,0,0,0
699,1,"CO-8(92)","Type CO
Overcurrent Relay

Instruction Leaflet : 41-101U

Effective: January 1992
Supersedes I.L. 41-101T, Dated March 1968

Note : The (92) in the type name refers to the year 1992, the document publication year.",1,0,0,0
