device_class,canonical_mfr,family,models_covered,doc_type,doc_number,title,normalized_relpath,provenance_type,source_url,retrieved,source_origin,original_name,not_in_workbook,dup_of,notes
Breakers,Unknown,Unclassified,Unclassified,curve-book,,1SDC007600G0201 WP MDGF 12.2024.pdf,Breakers/Unknown/Unclassified/1SDC007600G0201_WP MDGF_12.2024.pdf.pdf,local,,,lib-breakers,1SDC007600G0201_WP MDGF_12.2024.pdf.pdf,Y,,
Trip Units,ABB,Tmax XT,Tmax XT,curve-book,1SDH002013A1001,1SDH002013A1001(XT7),Trip Units/ABB/Tmax XT/1SDH002013A1001(XT7).pdf,local,,,lib-breakers,ABB\1SDH002013A1001(XT7).pdf,,,
Breakers,ABB,Tmax XT,Tmax XT,curve-book,1SDH002013A1002.pdf,1SDH002013A1002,Breakers/ABB/Tmax XT/1SDH002013A1002.pdf,local,,,lib-breakers,ABB\1SDH002013A1002.pdf,,,
Trip Units,General Electric,EntelliGuard,EntelliGuard,curve-book,1SQC930017M0201,1SQC930017M0201 GEH6270 11 2022,Trip Units/General Electric/EntelliGuard/1SQC930017M0201 GEH6270 11_2022.pdf,local,,,lib-breakers,ABB\1SQC930017M0201 GEH6270 11_2022.pdf,,,
Trip Units,ABB,Tmax XT,Tmax XT,curve-book,can,Ekip Touch,Trip Units/ABB/Tmax XT/Ekip Touch.pdf,local,,,lib-breakers,ABB\Ekip Touch.pdf,,,
Trip Units,General Electric,EntelliGuard,EntelliGuard,curve-book,details,Entelliguard TU series,Trip Units/General Electric/EntelliGuard/Entelliguard TU series.pdf,local,,,lib-breakers,ABB\Entelliguard TU series.pdf,,,
Trip Units,ABB,SACE Emax 2,SACE Emax 2,curve-book,1SDH001316R0002,DOC,Trip Units/ABB/SACE Emax 2/SACE E2.pdf,local,,,lib-breakers,ABB\SACE E2.pdf,,,
Trip Units,Eaton,Eaton,Eaton,curve-book,,Digitrip RMS Units,Trip Units/Eaton/Eaton/Digitrip RMS Units.pdf,local,,,lib-breakers,Eaton\Digitrip RMS Units.pdf,,,
_quarantine,Unknown,Unclassified,,tool,,Eaton Response to PXR Insulation Resistance Values,_quarantine/lib-breakers/Eaton Response to PXR Insulation Resistance Values.docx,local,,,lib-breakers,Eaton\Eaton Response to PXR Insulation Resistance Values.docx,,,non-PDF or invalid PDF
Trip Units,Eaton,Power Defense,Power Defense,curve-book,Catalogs,Eaton Response to PXR Insulation Resistance Values,Trip Units/Eaton/Power Defense/Eaton Response to PXR Insulation Resistance Values.pdf,local,,,lib-breakers,Eaton\Eaton Response to PXR Insulation Resistance Values.pdf,,,
Trip Units,Eaton,Series C,Series C,curve-book,adjustable,H Series,Trip Units/Eaton/Series C/H Series.PDF,local,,,lib-breakers,Eaton\H Series.PDF,,,
Breakers,Eaton,Series C,Series C,curve-book,TD012033EN,J FRAME TD012033EN FINAL,Breakers/Eaton/Series C/J-FRAME TD012033EN_FINAL.pdf,local,,,lib-breakers,Eaton\J-FRAME TD012033EN_FINAL.pdf,,,
Trip Units,Eaton,Series C,Series C,curve-book,td012034en.pdf,k frame time current curves td012034en,Trip Units/Eaton/Series C/k-frame-time-current-curves-td012034en.pdf,local,,,lib-breakers,Eaton\k-frame-time-current-curves-td012034en.pdf,,,
